OBJECTID,GEOL_CODE,GEOL_CODE_INT,GERMAN
1,Runc308001,14508001,tonig
2,Runc308002,14508002,lehmig
3,Runc308003,14508003,siltig
4,Runc308004,14508004,sandig
5,Runc308005,14508005,kiesig
6,Runc308006,14508006,geröllreich
7,Runc308007,14508007,torfig
