OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
124,4.0,15102025,Vlit402025,15102024.0,Siltstein
125,4.0,15102026,Vlit402026,15102024.0,Tonstein
126,4.0,15102027,Vlit402027,15102024.0,Mergelstein
127,4.0,15102028,Vlit402028,15102024.0,Tonmergelstein
128,4.0,15102029,Vlit402029,15102024.0,Kalkmergelstein
129,4.0,15102030,Vlit402030,15102024.0,Schlammstein
91,2.0,15102032,Vlit402032,15102001.0,"biogenes / biochemisches / organisches Sedimentgestein, undifferenziert"
130,4.0,15102034,Vlit402034,15102032.0,"Kalkstein, undifferenziert"
131,4.0,15102035,Vlit402035,15102034.0,Kieselkalk
132,4.0,15102036,Vlit402036,15102034.0,Spatkalk
133,4.0,15102037,Vlit402037,15102034.0,Mikrit
134,4.0,15102038,Vlit402038,15102034.0,Arenit
135,4.0,15102039,Vlit402039,15102034.0,Rudit
136,4.0,15102040,Vlit402040,15102034.0,Riffkalk
137,4.0,15102041,Vlit402041,15102034.0,Kalkbrekzie
138,4.0,15102042,Vlit402042,15102034.0,Kalkoolith
139,4.0,15102043,Vlit402043,15102034.0,Nummulitenkalk
140,4.0,15102044,Vlit402044,15102034.0,Aptychenkalk
141,4.0,15102045,Vlit402045,15102034.0,"biogener Kalkstein, undifferenziert"
142,4.0,15102046,Vlit402046,15102034.0,detritischer Kalk
143,4.0,15102047,Vlit402047,15102034.0,Süsswasserkalk
144,3.0,15102049,Vlit402049,15102032.0,Dolomit
145,3.0,15102051,Vlit402051,15102032.0,"kieseliges Gestein, undifferenziert"
146,4.0,15102052,Vlit402052,15102051.0,Radiolarit
147,4.0,15102053,Vlit402053,15102051.0,Spiculit
148,4.0,15102054,Vlit402054,15102051.0,"Hornstein, Chert"
149,3.0,15102056,Vlit402056,15102032.0,"Kohle, undifferenziert"
150,4.0,15102057,Vlit402057,15102056.0,Lignit (organisches Sedimentgestein)
151,4.0,15102058,Vlit402058,15102056.0,Steinkohle
152,4.0,15102059,Vlit402059,15102056.0,Anthrazit
153,3.0,15102061,Vlit402061,15102032.0,Eisenoolith
154,4.0,15102063,Vlit402063,15102032.0,"phosphoritreiches Gestein, undifferenziert"
155,4.0,15102064,Vlit402064,15102063.0,phosphoritreicher Sandstein
156,4.0,15102065,Vlit402065,15102063.0,phosphoritreicher Kalkstein
157,4.0,15102066,Vlit402066,15102063.0,phosphoritreicher Mergelstein
98,2.0,15102068,Vlit402068,15102001.0,"chemisches Sedimentgestein, undifferenziert"
158,3.0,15102070,Vlit402070,15102068.0,"Evaporit, undifferenziert"
159,4.0,15102071,Vlit402071,15102070.0,Anhydrit
160,4.0,15102072,Vlit402072,15102070.0,Gips
161,4.0,15102073,Vlit402073,15102070.0,Steinsalz
162,3.0,15102075,Vlit402075,15102068.0,"Karbonat, undifferenziert"
163,4.0,15102076,Vlit402076,15102075.0,Rauwacke (Sedimentgestein)
164,4.0,15102077,Vlit402077,15102075.0,"Quelltuff (Kalksinter, Sedimentgestein)"
165,4.0,15102078,Vlit402078,15102075.0,"Travertin (Kalksinter, Sedimentgestein)"
101,2.0,15102080,Vlit402080,15102001.0,"Residualgestein / pedogen überprägtes Gestein, undifferenziert"
166,3.0,15102082,Vlit402082,15102080.0,Bohnerz
167,3.0,15102084,Vlit402084,15102080.0,siderolithische Verwitterungsbildungen
168,3.0,15102086,Vlit402086,15102080.0,"silikatreiches Gestein, undifferenziert"
169,4.0,15102087,Vlit402087,15102086.0,Boluston
170,4.0,15102088,Vlit402088,15102086.0,Huppererde
171,4.0,15102089,Vlit402089,15102086.0,Quarzsand
172,4.0,15102090,Vlit402090,15102086.0,Silcrete
173,3.0,15102092,Vlit402092,15102080.0,"pedogenes Karbonat, undifferenziert"
174,4.0,15102093,Vlit402093,15102092.0,Caliche
175,4.0,15102094,Vlit402094,15102092.0,Krustenkalk
176,4.0,15102100,Vlit402100,15102034.0,Echinodermenkalk
177,4.0,15102101,Vlit402101,15102034.0,glaukonitischer Kalkstein
178,4.0,15102102,Vlit402102,15102009.0,Lithothamniensandstein
179,4.0,15102103,Vlit402103,15102032.0,Eisensandstein
180,4.0,15102104,Vlit402104,15102024.0,glaukonitischer Mergel
181,4.0,15102105,Vlit402105,15102034.0,kreidiger Kalk
182,4.0,15102106,Vlit402106,15102034.0,bioklastischer Kalk
183,4.0,15102107,Vlit402107,15102034.0,Mergelkalk
184,3.0,15102108,Vlit402108,15102032.0,eisenschüssiger Kalk
2010,4.0,15102109,Vlit402109,15102049.0,Dolomitbrekzie
185,1.0,15103001,Vlit403001,0.0,Magmatit
188,2.0,15103003,Vlit403003,15103001.0,"Intrusivgestein, undifferenziert"
195,3.0,15103005,Vlit403005,15103003.0,"Tiefengestein, undifferenziert"
196,4.0,15103006,Vlit403006,15103005.0,Alkalogranit
197,4.0,15103007,Vlit403007,15103005.0,Granit
198,4.0,15103008,Vlit403008,15103005.0,Granodiorit
199,4.0,15103009,Vlit403009,15103005.0,Quarzdiorit
200,4.0,15103010,Vlit403010,15103005.0,Tonalit
201,4.0,15103011,Vlit403011,15103005.0,Diorit
202,4.0,15103012,Vlit403012,15103005.0,Syenit
203,4.0,15103013,Vlit403013,15103005.0,Alkalisyenit
204,4.0,15103014,Vlit403014,15103005.0,Quarzgabbro
205,4.0,15103015,Vlit403015,15103005.0,Gabbro
206,4.0,15103016,Vlit403016,15103005.0,Norit
207,4.0,15103017,Vlit403017,15103005.0,Monzodiorit
208,4.0,15103018,Vlit403018,15103005.0,Monzogabbro
209,4.0,15103019,Vlit403019,15103005.0,Monzonit
210,4.0,15103020,Vlit403020,15103005.0,Pyroxenit (Intrusivgestein)
211,4.0,15103021,Vlit403021,15103005.0,Peridotit (Intrusivgestein)
