OBJECTID,TREE_LEVEL,GEOL_CODE_INT,GEOL_CODE,PARENT_REF,GERMAN
193,4.0,15200095,Vlit500095,15200093.0,Russille-Member
194,3.0,15200096,Vlit500096,15200092.0,Gorges-de-l'Orbe-Formation
204,2.0,15200097,Vlit500097,15200161.0,"Pierre-Châtel-, Vions- und Chambotte-Formation, undifferenziert"
205,3.0,15200098,Vlit500098,15200097.0,Chambotte-Formation
206,4.0,15200099,Vlit500099,15200098.0,Guiers-Member
207,3.0,15200100,Vlit500100,15200097.0,Vions-Formation
208,3.0,15200101,Vlit500101,15200097.0,Pierre-Châtel-Formation
230,3.0,15200102,Vlit500102,15200012.0,Burghorn-Formation
231,4.0,15200103,Vlit500103,15200102.0,Wettigen-Member
232,4.0,15200104,Vlit500104,15200102.0,Baden-Member
243,4.0,15200105,Vlit500105,15200160.0,Villigen-Formation
244,5.0,15200106,Vlit500106,15200105.0,Wangental-Member
245,5.0,15200107,Vlit500107,15200105.0,Letzi-Member
246,6.0,15200108,Vlit500108,15200107.0,Knollen-Bank
247,5.0,15200109,Vlit500109,15200105.0,Küssaburg-Member
248,5.0,15200110,Vlit500110,15200105.0,Wangen-Member
249,5.0,15200111,Vlit500111,15200105.0,Hornbuck-Member
250,5.0,15200112,Vlit500112,15200105.0,Crenularis-Member
251,5.0,15200113,Vlit500113,15200105.0,Geissberg-Member
268,3.0,15200114,Vlit500114,15200012.0,Wildegg-Formation
269,4.0,15200115,Vlit500115,15200114.0,Effingen-Member
270,5.0,15200116,Vlit500116,15200115.0,Gerstenhübel-Bank
272,4.0,15200117,Vlit500117,15200114.0,Birmenstorf-Member
259,5.0,15200118,Vlit500118,15200573.0,Günsberg-Formation
260,6.0,15200119,Vlit500119,15200118.0,Moutier-Korallenkalk
310,3.0,15200120,Vlit500120,15200055.0,Klingnau-Formation
311,4.0,15200121,Vlit500121,15200120.0,Knorri-Ton
312,4.0,15200122,Vlit500122,15200120.0,Wuerttembergica-Schichten
314,5.0,15200123,Vlit500123,15200202.0,Subfurcatum-Bank
315,4.0,15200124,Vlit500124,15200120.0,Blagdeni-Schichten
351,2.0,15200125,Vlit500125,15200163.0,Keuper
352,3.0,15200126,Vlit500126,15200125.0,Klettgau-Formation
353,4.0,15200127,Vlit500127,15200126.0,Belchen-Member
359,3.0,15200128,Vlit500128,15200125.0,Bänkerjoch-Formation
360,2.0,15200129,Vlit500129,15200163.0,Muschelkalk
361,3.0,15200130,Vlit500130,15200129.0,Schinznach-Formation
362,4.0,15200131,Vlit500131,15200130.0,Asp-Member
363,4.0,15200132,Vlit500132,15200130.0,Stamberg-Member
365,4.0,15200133,Vlit500133,15200130.0,Liedertswil-Member
368,4.0,15200134,Vlit500134,15200130.0,Kienberg-Member
371,3.0,15200135,Vlit500135,15200129.0,Zeglingen-Formation
373,4.0,15200136,Vlit500136,15200135.0,Obere Sufatzone
374,4.0,15200137,Vlit500137,15200135.0,Salzlager
375,4.0,15200138,Vlit500138,15200135.0,Untere Sulfatzone
376,3.0,15200139,Vlit500139,15200129.0,Kaiseraugst-Formation
377,4.0,15200140,Vlit500140,15200139.0,Orbicularis-Mergel
378,4.0,15200141,Vlit500141,15200139.0,Wellenkalk / Wellenmergel
379,4.0,15200142,Vlit500142,15200139.0,Wellendolomit
380,2.0,15200143,Vlit500143,15200163.0,Buntsandstein
381,3.0,15200144,Vlit500144,15200143.0,Dinkelberg-Formation
382,4.0,15200145,Vlit500145,15200144.0,Rhötton
383,4.0,15200146,Vlit500146,15200144.0,Plattensandstein
384,4.0,15200147,Vlit500147,15200144.0,Karneol-Horizont
177,2.0,15200148,Vlit500148,15200161.0,Narlay-Formation
178,2.0,15200149,Vlit500149,15200161.0,Perte-du-Rhône-Formation
195,2.0,15200150,Vlit500150,15200161.0,Grand-Essert-Formation
196,3.0,15200151,Vlit500151,15200150.0,Pierre Jaune de Neuchâtel
198,3.0,15200152,Vlit500152,15200150.0,Hauterive-Mergel
201,2.0,15200153,Vlit500153,15200161.0,Vuache-Formation
202,3.0,15200154,Vlit500154,15200153.0,Alectryonia-Kalk
203,3.0,15200155,Vlit500155,15200153.0,Arzier-Mergel
209,2.0,15200156,Vlit500156,15200161.0,Goldberg-Formation
387,2.0,15200157,Vlit500157,15200221.0,Wiesental-Formation
388,2.0,15200158,Vlit500158,15200221.0,Weitenau-Formation
398,2.0,15200159,Vlit500159,15200221.0,Weiach-Formation
233,3.0,15200160,Vlit500160,15200012.0,"Günsberg-, Vellerat-, Villigen-, Balsthal- und Courgenay-Formation, undifferenziert"
176,1.0,15200161,Vlit500161,0.0,Kreide des Juragebirges
210,1.0,15200162,Vlit500162,0.0,Jura des Juragebirges
350,1.0,15200163,Vlit500163,0.0,Trias des Juragebirges
172,2.0,15200175,Vlit500175,15200091.0,Bohnerzton
173,2.0,15200176,Vlit500176,15200091.0,Boluston
175,2.0,15200177,Vlit500177,15200091.0,Hupper
303,5.0,15200178,Vlit500178,15200380.0,Homomya-Mergel
385,4.0,15200179,Vlit500179,15200144.0,Vogesen-Sandstein
174,2.0,15200180,Vlit500180,15200091.0,Glassand
180,3.0,15200181,Vlit500181,15200149.0,Mussel-Member
186,3.0,15200182,Vlit500182,15200149.0,Fulie-Member
197,4.0,15200183,Vlit500183,15200151.0,Uttins-Mergel
199,4.0,15200184,Vlit500184,15200152.0,Mergelkalk-Zone
200,3.0,15200185,Vlit500185,15200153.0,Bryozoen-Mergel
213,4.0,15200186,Vlit500186,15200001.0,Zuckerkörniger Kalk
218,4.0,15200187,Vlit500187,15200002.0,Chevenez-Member
237,4.0,15200188,Vlit500188,15200160.0,Balsthal-Formation
238,5.0,15200189,Vlit500189,15200188.0,Verena-Member
239,5.0,15200190,Vlit500190,15200188.0,Holzflue-Member
240,5.0,15200191,Vlit500191,15200188.0,Laufen-Member
241,5.0,15200192,Vlit500192,15200188.0,Olten-Member
242,5.0,15200193,Vlit500193,15200188.0,Steinibach-Member
257,7.0,15200194,Vlit500194,15200031.0,Grüne Mumienbank
271,5.0,15200195,Vlit500195,15200115.0,Pecten-Bank
295,5.0,15200196,Vlit500196,15200380.0,Ferrugineus-Oolith
298,5.0,15200197,Vlit500197,15200380.0,Wittnau-Korallenkalk
300,5.0,15200198,Vlit500198,15200380.0,Furcil-Mergel
306,5.0,15200199,Vlit500199,15200382.0,Maeandrina-Schichten
307,5.0,15200200,Vlit500200,15200382.0,Gisliflue-Korallenkalk
308,5.0,15200201,Vlit500201,15200382.0,Untere Acuminata-Schichten
313,4.0,15200202,Vlit500202,15200120.0,Parkinsoni-Schichten
317,4.0,15200203,Vlit500203,15200009.0,Dewalquei-Kalk
318,4.0,15200204,Vlit500204,15200009.0,Brot-Schichten
326,5.0,15200205,Vlit500205,15200070.0,Comptum-Bank
354,4.0,15200206,Vlit500206,15200126.0,Seebi-Member
355,4.0,15200207,Vlit500207,15200126.0,Gruhalde-Member
356,4.0,15200208,Vlit500208,15200126.0,Berlingen-Member
357,4.0,15200209,Vlit500209,15200126.0,Gansingen-Member
358,4.0,15200210,Vlit500210,15200126.0,Ergolz-Member
364,5.0,15200211,Vlit500211,15200132.0,Kaisten-Bank
366,4.0,15200212,Vlit500212,15200130.0,Eptingen-Member
367,4.0,15200213,Vlit500213,15200130.0,Dünnlenberg-Bank
