GeolCodeInt,DE,FR,EN,IT
15001111,Kungurien,Kungurien,Kungurian,Kunguriano
15001113,Artinskien,Artinskien,Artinskian,Artinskiano
15001115,Sakmarien,Sakmarien,Sakmarian,Sakmariano
15001117,Asselien,Assélien,Asselian,Asseliano
15001119,Karbon,Carbonifère,Carboniferous,Carbonifero
15001120,Pennsylvanien,Pennsylvanien,Pennsylvanian,Pennsylvaniano
15001121,Spätes Pennsylvanien,Pennsylvanien tardif,Late Pennsylvanian,Pennsylvaniano superiore
15001137,Gzhélien,Gzhélien,Gzhelian,Gzheliano
15001138,Kasimovien,Kasimovien,Kasimovian,Kasimoviano
15001122,Mittleres Pennsylvanien,Pennsylvanien moyen,Middle Pennsylvanian,Pennsylvaniano medio
15001139,Moscovien,Moscovien,Moscovian,Moscoviano
15001123,Frühes Pennsylvanien,Pennsylvanien précoce,Early Pennsylvanian,Pennsylvaniano inferiore
15001140,Bashkirien,Bashkirien,Bashkirian,Bashkiriano
15001124,Mississippien,Mississippien,Mississippian,Mississippiano
15001125,Spätes Mississippien,Mississippien tardif,Late Mississippian,Mississippiano superiore
15001141,Serpukhovien,Serpukhovien,Serpukhovian,Serpukhoviano
15001126,Mittleres Mississippien,Mississippien moyen,Middle Mississippian,Mississippiano medio
15001142,Viséen,Viséen,Visean,Viseano
15001127,Frühes Mississippien,Mississippien précoce,Early Mississippian,Mississippiano inferiore
15001143,Tournaisien,Tournaisien,Tournaisian,Tournaisiano
15001128,Devon,Dévonien,Devonian,Devoniano
15001131,Spätes Devon,Dévonien tardif,Late Devonian,Devoniano superiore
15001130,Mittleres Devon,Dévonien moyen,Middle Devonian,Devoniano medio
15001129,Frühes Devon,Dévonien précoce,Early Devonian,Devoniano inferiore
15001132,frühes Paläozoikum,Paléozoïque précoce,Early Paleozoic,Paleozoico inferiore
15001133,Silur,Silurien,Silurian,Siluriano
15001144,Pridoli,Pridoli,Pridoli,Pridoli
15001145,Ludlow,Ludlow,Ludlow,Ludlow
15001146,Wenlock,Wenlock,Wenlock,Wenlock
15001147,Llandovery,Llandovery,Llandovery,Llandovery
15001134,Ordovizium,Ordovicien,Ordovician,Ordoviciano
15001148,Spätes Ordovizium,Ordovicien tardif,Late Ordovician,Ordoviciano superiore
15001149,Mittleres Ordovizium,Ordovicien moyen,Middle Ordovician,Ordoviciano medio
15001150,Frühes Ordovizium,Ordovicien précoce,Early Ordovician,Ordoviciano inferiore
15001135,Kambrium,Cambrien,Cambrian,Cambriano
15001152,Präkambrium,Précambrien,Precambrian,Precambriano
15001136,Proterozoikum,Protérozoïque,Proterozoic,Proterozoico
15001153,Archaikum,Archéen,Archean,Archeano
15001154,Hadaikum,Hadéen,Hadean,Adeano
