OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
331,15104443,Vlit404443,Metaphonolit,4.0,15104095.0
12,15101008,Vlit401008,Lawinenschutt,3.0,15101003.0
272,15104202,Vlit404202,Metapsephit,4.0,15104093.0
368,15104047,Vlit404047,Leptinit,4.0,15104041.0
341,15104012,Vlit404012,tektonische Dolomitbrekzie,4.0,15104010.0
323,15104434,Vlit404434,Metarhyolith,4.0,15104095.0
53,15101013,Vlit401013,Plateaulehm,4.0,15101012.0
30,15101056,Vlit401056,Strandablagerungen,3.0,15101044.0
125,15102026,Vlit402026,Tonstein,4.0,15102024.0
185,15103001,Vlit403001,Magmatit,1.0,0.0
180,15102104,Vlit402104,glaukonitischer Mergel,4.0,15102024.0
110,15102010,Vlit402010,Quarzsandstein,4.0,15102009.0
247,15103063,Vlit403063,tuffitischer Sandstein,4.0,15103060.0
361,15104039,Vlit404039,Talkschiefer,4.0,15104031.0
252,15104002,Vlit404002,Gestein der Störungszone,2.0,15104001.0
402,15104087,Vlit404087,Albitit,3.0,15104084.0
346,15104018,Vlit404018,"Mylonit, undifferenziert",3.0,15104002.0
170,15102088,Vlit402088,Huppererde,4.0,15102086.0
392,15104075,Vlit404075,Migmatit,4.0,15104074.0
322,15104433,Vlit404433,Metaalkalirhyolith,4.0,15104095.0
87,15102003,Vlit402003,"klastisches Sedimentgestein, undifferenziert",2.0,15102001.0
139,15102043,Vlit402043,Nummulitenkalk,4.0,15102034.0
191,15103037,Vlit403037,"Extrusivgestein, undifferenziert",2.0,15103001.0
135,15102039,Vlit402039,Rudit,4.0,15102034.0
68,15101039,Vlit401039,"Alluvion, undifferenziert",3.0,15101026.0
304,15104415,Vlit404415,Metamonzodiorit,4.0,15104095.0
64,15101033,Vlit401033,Rückzugsschotter,4.0,15101028.0
181,15102105,Vlit402105,kreidiger Kalk,4.0,15102034.0
351,15104025,Vlit404025,Pseudotachylit,3.0,15104002.0
114,15102014,Vlit402014,mergeliger Sandstein,4.0,15102009.0
300,15104411,Vlit404411,Metaalkalisyenit,4.0,15104095.0
376,15104056,Vlit404056,Karbonat- und Silikat führendes Gestein,4.0,15104053.0
369,15104048,Vlit404048,Paragneis,4.0,15104041.0
42,15101065,Vlit401065,vulkanische Asche,3.0,15101061.0
380,15104060,Vlit404060,Amphibolit,4.0,15104053.0
378,15104058,Vlit404058,Granulit,4.0,15104053.0
199,15103009,Vlit403009,Quarzdiorit,4.0,15103005.0
59,15101028,Vlit401028,"glazifluviatiles Sediment, undifferenziert",3.0,15101026.0
151,15102058,Vlit402058,Steinkohle,4.0,15102056.0
169,15102087,Vlit402087,Boluston,4.0,15102086.0
153,15102061,Vlit402061,Eisenoolith,3.0,15102032.0
119,15102019,Vlit402019,Glimmersandstein,4.0,15102009.0
279,15104209,Vlit404209,Metagrauwacke,4.0,15104093.0
101,15102080,Vlit402080,"Residualgestein / pedogen überprägtes Gestein, undifferenziert",2.0,15102001.0
275,15104205,Vlit404205,Metasandstein,4.0,15104093.0
221,15103032,Vlit403032,Mikrogabbro,4.0,15103026.0
120,15102020,Vlit402020,Glaukonitsandstein,4.0,15102009.0
52,15101012,Vlit401012,"Verwitterungslehm, undifferenziert",3.0,15101003.0
401,15104086,Vlit404086,Hornblenditit,3.0,15104084.0
249,15103065,Vlit403065,tuffitischer Tonstein,4.0,15103060.0
384,15104064,Vlit404064,Eklogit,4.0,15104053.0
302,15104413,Vlit404413,Metagabbro,4.0,15104095.0
172,15102090,Vlit402090,Silcrete,4.0,15102086.0
98,15102068,Vlit402068,"chemisches Sedimentgestein, undifferenziert",2.0,15102001.0
337,15104007,Vlit404007,Kluftletten,4.0,15104005.0
121,15102021,Vlit402021,Nummulitensandstein,4.0,15102009.0
25,15101042,Vlit401042,Überschwemmungssediment,3.0,15101026.0
239,15103054,Vlit403054,Ignimbrit,4.0,15103053.0
126,15102027,Vlit402027,Mergelstein,4.0,15102024.0
107,15102006,Vlit402006,Brekzie,4.0,15102005.0
144,15102049,Vlit402049,Dolomit,3.0,15102032.0
160,15102072,Vlit402072,Gips,4.0,15102070.0
372,15104051,Vlit404051,Kinzigit,4.0,15104041.0
175,15102094,Vlit402094,Krustenkalk,4.0,15102092.0
296,15104407,Vlit404407,Metaquarzdiorit,4.0,15104095.0
405,15104090,Vlit404090,Serpentinit,3.0,15104084.0
301,15104412,Vlit404412,Metaquarzgabbro,4.0,15104095.0
284,15104214,Vlit404214,Metamergel,4.0,15104093.0
214,15103024,Vlit403024,Granophyr,4.0,15103005.0
233,15103047,Vlit403047,Trachyt,4.0,15103039.0
117,15102017,Vlit402017,"Flyschsandstein, Grauwacke",4.0,15102009.0
387,15104069,Vlit404069,"Metasomatit, undifferenziert",3.0,15104027.0
349,15104021,Vlit404021,Ultramylonit,4.0,15104018.0
342,15104013,Vlit404013,tektonische Brekzie (mit Kohäsion),4.0,15104010.0
231,15103045,Vlit403045,Andesit,4.0,15103039.0
324,15104435,Vlit404435,Metarhyodazit,4.0,15104095.0
250,15103066,Vlit403066,Bentonit,4.0,15103060.0
200,15103010,Vlit403010,Tonalit,4.0,15103005.0
360,15104038,Vlit404038,Prasinit,4.0,15104031.0
197,15103007,Vlit403007,Granit,4.0,15103005.0
168,15102086,Vlit402086,"silikatreiches Gestein, undifferenziert",3.0,15102080.0
82,15102001,Vlit402001,Sedimentgestein,1.0,0.0
195,15103005,Vlit403005,"Tiefengestein, undifferenziert",3.0,15103003.0
71,15101046,Vlit401046,"glazilakustrisches Sediment, undifferenziert",4.0,15101044.0
229,15103043,Vlit403043,Dazit,4.0,15103039.0
288,15104218,Vlit404218,Metakarbonat,4.0,15104093.0
73,15101048,Vlit401048,subaquatisch abgelagerte Moräne (Waterlaid Till),4.0,15101046.0
127,15102028,Vlit402028,Tonmergelstein,4.0,15102024.0
156,15102065,Vlit402065,phosphoritreicher Kalkstein,4.0,15102063.0
356,15104034,Vlit404034,Chloritschiefer,4.0,15104031.0
162,15102075,Vlit402075,"Karbonat, undifferenziert",3.0,15102068.0
379,15104059,Vlit404059,Rodingit,4.0,15104053.0
219,15103030,Vlit403030,Aplit,4.0,15103026.0
196,15103006,Vlit403006,Alkalogranit,4.0,15103005.0
338,15104008,Vlit404008,tektonische Brekzie (kohäsionslos),4.0,15104005.0
312,15104423,Vlit404423,Metaganggestein,4.0,15104095.0
317,15104428,Vlit404428,Metamikrodiorit,4.0,15104095.0
345,15104016,Vlit404016,Ultrakataklasit,4.0,15104010.0
182,15102106,Vlit402106,bioklastischer Kalk,4.0,15102034.0
124,15102025,Vlit402025,Siltstein,4.0,15102024.0
133,15102037,Vlit402037,Mikrit,4.0,15102034.0
395,15104078,Vlit404078,Metatexit mit Netztextur,4.0,15104074.0
148,15102054,Vlit402054,"Hornstein, Chert",4.0,15102051.0
359,15104037,Vlit404037,Kalkschiefer,4.0,15104031.0
198,15103008,Vlit403008,Granodiorit,4.0,15103005.0
134,15102038,Vlit402038,Arenit,4.0,15102034.0
330,15104441,Vlit404441,Metabasalt,4.0,15104095.0
243,15103058,Vlit403058,Aschentuff,4.0,15103053.0
34,15101051,Vlit401051,"palustrisches Sediment, undifferenziert",3.0,15101050.0
336,15104006,Vlit404006,Gesteinsmehl,4.0,15104005.0
226,15103040,Vlit403040,Alkalirhyolith,4.0,15103039.0
159,15102071,Vlit402071,Anhydrit,4.0,15102070.0
54,15101014,Vlit401014,"Hanglehm, Schwemmlehm",4.0,15101012.0
18,15101017,Vlit401017,Rutschmasse,3.0,15101003.0
145,15102051,Vlit402051,"kieseliges Gestein, undifferenziert",3.0,15102032.0
63,15101032,Vlit401032,Vorstossschotter,4.0,15101028.0
287,15104217,Vlit404217,Metaradiolarit,4.0,15104093.0
246,15103062,Vlit403062,tuffitisches Konglomerat,4.0,15103060.0
113,15102013,Vlit402013,kieseliger Sandstein,4.0,15102009.0
143,15102047,Vlit402047,Süsswasserkalk,4.0,15102034.0
367,15104046,Vlit404046,agmatischer Gneis,4.0,15104041.0
111,15102011,Vlit402011,Kalksandstein,4.0,15102009.0
309,15104420,Vlit404420,nephelinitischer Metasyenit,4.0,15104095.0
240,15103055,Vlit403055,Pyroklastische Brekzie,4.0,15103053.0
357,15104035,Vlit404035,Glimmerschiefer,4.0,15104031.0
389,15104071,Vlit404071,Greisen,4.0,15104069.0
188,15103003,Vlit403003,"Intrusivgestein, undifferenziert",2.0,15103001.0
77,15101072,Vlit401072,Deponie,4.0,15101069.0
273,15104203,Vlit404203,Metabrekzie,4.0,15104093.0
217,15103028,Vlit403028,Rhyolithporphyr,4.0,15103026.0
280,15104210,Vlit404210,Geröll führender Metasandstein,4.0,15104093.0
234,15103048,Vlit403048,Basalt,4.0,15103039.0
132,15102036,Vlit402036,Spatkalk,4.0,15102034.0
136,15102040,Vlit402040,Riffkalk,4.0,15102034.0
40,15101062,Vlit401062,"äolischer Sand, Flugsand",3.0,15101061.0
327,15104438,Vlit404438,Metaandesit,4.0,15104095.0
204,15103014,Vlit403014,Quarzgabbro,4.0,15103005.0
131,15102035,Vlit402035,Kieselkalk,4.0,15102034.0
115,15102015,Vlit402015,toniger Sandstein,4.0,15102009.0
222,15103033,Vlit403033,Lamprophyr,4.0,15103026.0
311,15104422,Vlit404422,Metagranophyr,4.0,15104095.0
58,15101024,Vlit401024,Moräne auf Gletscher oder Toteis (Glacier or Dead Ice covered by Till),4.0,15101021.0
398,15104081,Vlit404081,Diatexit mit Schollentextur,4.0,15104074.0
316,15104427,Vlit404427,Metaaplit,4.0,15104095.0
277,15104207,Vlit404207,Metapsammit,4.0,15104093.0
390,15104072,Vlit404072,Gneis mit Feldspatblasten,4.0,15104069.0
344,15104015,Vlit404015,(Meso)Kataklasit,4.0,15104010.0
262,15104027,Vlit404027,"Gestein der Regional- und Kontaktmetamorphose, undifferenziert",2.0,15104001.0
315,15104426,Vlit404426,Metapegmatit,4.0,15104095.0
335,15104005,Vlit404005,"Kakirit, undifferenziert",3.0,15104002.0
308,15104419,Vlit404419,Metaperidotit,4.0,15104095.0
355,15104033,Vlit404033,Serizitschiefer,4.0,15104031.0
213,15103023,Vlit403023,Essexit,4.0,15103005.0
230,15103044,Vlit403044,Quarzandesit,4.0,15103039.0
149,15102056,Vlit402056,"Kohle, undifferenziert",3.0,15102032.0
299,15104410,Vlit404410,Metasyenit,4.0,15104095.0
377,15104057,Vlit404057,silikatreicher Marmor,4.0,15104053.0
202,15103012,Vlit403012,Syenit,4.0,15103005.0
237,15103051,Vlit403051,Karbonatit,4.0,15103039.0
171,15102089,Vlit402089,Quarzsand,4.0,15102086.0
370,15104049,Vlit404049,Orthogneis,4.0,15104041.0
147,15102053,Vlit402053,Spiculit,4.0,15102051.0
328,15104439,Vlit404439,Metaalkalitrachyt,4.0,15104095.0
215,15103026,Vlit403026,"Ganggestein, undifferenziert",3.0,15103003.0
50,15101006,Vlit401006,Bergsturzablagerung,4.0,15101005.0
218,15103029,Vlit403029,Pegmatit,4.0,15103026.0
155,15102064,Vlit402064,phosphoritreicher Sandstein,4.0,15102063.0
347,15104019,Vlit404019,Protomylonit,4.0,15104018.0
46,15101076,Vlit401076,geringmächtige Lockergesteinsbedeckung,3.0,15101075.0
313,15104424,Vlit404424,Metamikrogranit,4.0,15104095.0
407,15101083,Vlit401083,In-situ-Verwitterungsschutt,3.0,15101075.0
232,15103046,Vlit403046,Alkalitrachyt,4.0,15103039.0
305,15104416,Vlit404416,Metamonzogabbro,4.0,15104095.0
130,15102034,Vlit402034,"Kalkstein, undifferenziert",4.0,15102032.0
140,15102044,Vlit402044,Aptychenkalk,4.0,15102034.0
225,15103039,Vlit403039,"Ergussgestein, undifferenziert",3.0,15103037.0
207,15103017,Vlit403017,Monzodiorit,4.0,15103005.0
348,15104020,Vlit404020,Mylonit,4.0,15104018.0
350,15104023,Vlit404023,Phyllonit,3.0,15104002.0
292,15104403,Vlit404403,Metaplutonit,4.0,15104095.0
23,15101035,Vlit401035,gemischter Schutt,3.0,15101026.0
55,15101021,Vlit401021,"Moräne (Till), undifferenziert",4.0,15101019.0
320,15104431,Vlit404431,Metapikrit,4.0,15104095.0
1687,15104096,Vlit404096,Quarzschiefer,4.0,15104031.0
49,15101005,Vlit401005,"Sturzablagerung, undifferenziert",3.0,15101003.0
1689,15104098,Vlit404098,Grünschiefer,4.0,15104031.0
1688,15104097,Vlit404097,Granat-Glimmerschiefer,4.0,15104031.0
176,15102100,Vlit402100,Echinodermenkalk,4.0,15102034.0
142,15102046,Vlit402046,detritischer Kalk,4.0,15102034.0
138,15102042,Vlit402042,Kalkoolith,4.0,15102034.0
209,15103019,Vlit403019,Monzonit,4.0,15103005.0
388,15104070,Vlit404070,Skarn,4.0,15104069.0
14,15101010,Vlit401010,Blockschutt,3.0,15101003.0
51,15101007,Vlit401007,Felssturzablagerung,4.0,15101005.0
152,15102059,Vlit402059,Anthrazit,4.0,15102056.0
274,15104204,Vlit404204,Metakonglomerat,4.0,15104093.0
343,15104014,Vlit404014,Protokataklasit,4.0,15104010.0
166,15102082,Vlit402082,Bohnerz,3.0,15102080.0
271,15104201,Vlit404201,Metasediment,4.0,15104093.0
228,15103042,Vlit403042,Rhyodazit,4.0,15103039.0
339,15104010,Vlit404010,"Kataklasit, undifferenziert",3.0,15104002.0
365,15104044,Vlit404044,Adergneis,4.0,15104041.0
318,15104429,Vlit404429,Metamikrogabbro,4.0,15104095.0
371,15104050,Vlit404050,Stronalit,4.0,15104041.0
36,15101052,Vlit401052,Sumpf,3.0,15101050.0
67,15101037,Vlit401037,Murgangablagerung,4.0,15101035.0
1367,15104099,Vlit404099,Ophikalzit,4.0,15104084.0
251,15104001,Vlit404001,Metamorphit,1.0,0.0
167,15102084,Vlit402084,siderolithische Verwitterungsbildungen,3.0,15102080.0
38,15101054,Vlit401054,Lignit (palustrisches Sediment),3.0,15101050.0
385,15104065,Vlit404065,Peridotit (Metamorphit),4.0,15104053.0
235,15103049,Vlit403049,Pikrit (Effusiva),4.0,15103039.0
340,15104011,Vlit404011,Rauwacke (Kataklasit),4.0,15104010.0
276,15104206,Vlit404206,Quarzit (sedimentärer Protolith),4.0,15104093.0
17,15101016,Vlit401016,zerrüttete Sackungsmasse,3.0,15101003.0
283,15104213,Vlit404213,Tonschiefer (sedimentärer Protolith),4.0,15104093.0
403,15104088,Vlit404088,Pyroxenit (monomineralischer Metamorphit),3.0,15104084.0
79,15101080,Vlit401080,"Quelltuff (Kalksinter, Lockergestein)",3.0,15101081.0
