OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN
6,14511006,Runc311006,verschwemmt
1,14511001,Runc311001,fossil
7,14511007,Runc311007,sumpfig
11,14511011,Runc311011,künstlich bewässert (Wässermatten)
8,14511008,Runc311008,umgelagert
4,14511004,Runc311004,"verfestigt (durch Überlast), konsolidiert"
5,14511005,Runc311005,verkittet (zementiert)
10,14511010,Runc311010,drainiert
3,14511003,Runc311003,verwittert
9,14511009,Runc311009,abgebaut
2,14511002,Runc311002,rezent
