OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN
6,14508006,Runc308006,geröllreich
1,14508001,Runc308001,tonig
7,14508007,Runc308007,torfig
2,14508002,Runc308002,lehmig
4,14508004,Runc308004,sandig
5,14508005,Runc308005,kiesig
3,14508003,Runc308003,siltig
