OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
252,15104445.0,Vlit404445,Metaignimbrit,4.0,15104095.0
215,15104407.0,Vlit404407,Metaquarzdiorit,4.0,15104095.0
324,15104090.0,Vlit404090,Serpentinit,3.0,15104084.0
250,15104443.0,Vlit404443,Metaphonolit,4.0,15104095.0
191,15104202.0,Vlit404202,Metapsephit,4.0,15104093.0
313,15104077.0,Vlit404077,Metatexit mit stromatitischer Textur,4.0,15104074.0
287,15104047.0,Vlit404047,Leptinit,4.0,15104041.0
260,15104012.0,Vlit404012,tektonische Dolomitbrekzie,4.0,15104010.0
166,15103063.0,Vlit403063,tuffitischer Sandstein,4.0,15103060.0
203,15104214.0,Vlit404214,Metamergel,4.0,15104093.0
242,15104434.0,Vlit404434,Metarhyolith,4.0,15104095.0
126,15103017.0,Vlit403017,Monzodiorit,4.0,15103005.0
151,15103046.0,Vlit403046,Alkalitrachyt,4.0,15103039.0
120,15103011.0,Vlit403011,Diorit,4.0,15103005.0
133,15103024.0,Vlit403024,Granophyr,4.0,15103005.0
78,15102071.0,Vlit402071,Anhydrit,4.0,15102070.0
152,15103047.0,Vlit403047,Trachyt,4.0,15103039.0
44,15102026.0,Vlit402026,Tonstein,4.0,15102024.0
99,15102104.0,Vlit402104,glaukonitischer Mergel,4.0,15102024.0
29,15102010.0,Vlit402010,Quarzsandstein,4.0,15102009.0
36,15102017.0,Vlit402017,"Flyschsandstein, Grauwacke",4.0,15102009.0
306,15104069.0,Vlit404069,"Metasomatit, undifferenziert",3.0,15104027.0
280,15104039.0,Vlit404039,Talkschiefer,4.0,15104031.0
171,15104002.0,Vlit404002,Gestein der Störungszone,2.0,15104001.0
261,15104013.0,Vlit404013,tektonische Brekzie (mit Kohäsion),4.0,15104010.0
150,15103045.0,Vlit403045,Andesit,4.0,15103039.0
243,15104435.0,Vlit404435,Metarhyodazit,4.0,15104095.0
169,15103066.0,Vlit403066,Bentonit,4.0,15103060.0
170,15104001.0,Vlit404001,Metamorphit,1.0,0.0
119,15103010.0,Vlit403010,Tonalit,4.0,15103005.0
279,15104038.0,Vlit404038,Prasinit,4.0,15104031.0
132,15103023.0,Vlit403023,Essexit,4.0,15103005.0
123,15103014.0,Vlit403014,Quarzgabbro,4.0,15103005.0
50,15102035.0,Vlit402035,Kieselkalk,4.0,15102034.0
116,15103007.0,Vlit403007,Granit,4.0,15103005.0
101,15102106.0,Vlit402106,bioklastischer Kalk,4.0,15102034.0
230,15104422.0,Vlit404422,Metagranophyr,4.0,15104095.0
87,15102086.0,Vlit402086,"silikatreiches Gestein, undifferenziert",3.0,15102080.0
114,15103005.0,Vlit403005,"Tiefengestein, undifferenziert",3.0,15103003.0
64,15102051.0,Vlit402051,"kieseliges Gestein, undifferenziert",3.0,15102032.0
137,15103029.0,Vlit403029,Pegmatit,4.0,15103026.0
76,15102066.0,Vlit402066,phosphoritreicher Mergelstein,4.0,15102063.0
317,15104081.0,Vlit404081,Diatexit mit Schollentextur,4.0,15104074.0
235,15104427.0,Vlit404427,Metaaplit,4.0,15104095.0
196,15104207.0,Vlit404207,Metapsammit,4.0,15104093.0
148,15103043.0,Vlit403043,Dazit,4.0,15103039.0
207,15104218.0,Vlit404218,Metakarbonat,4.0,15104093.0
168,15103065.0,Vlit403065,tuffitischer Tonstein,4.0,15103060.0
52,15102037.0,Vlit402037,Mikrit,4.0,15102034.0
314,15104078.0,Vlit404078,Metatexit mit Netztextur,4.0,15104074.0
309,15104072.0,Vlit404072,Gneis mit Feldspatblasten,4.0,15104069.0
323,15104089.0,Vlit404089,Chloritit,3.0,15104084.0
67,15102054.0,Vlit402054,"Hornstein, Chert",4.0,15102051.0
263,15104015.0,Vlit404015,(Meso)Kataklasit,4.0,15104010.0
278,15104037.0,Vlit404037,Kalkschiefer,4.0,15104031.0
181,15104027.0,Vlit404027,"Gestein der Regional- und Kontaktmetamorphose, undifferenziert",2.0,15104001.0
117,15103008.0,Vlit403008,Granodiorit,4.0,15103005.0
53,15102038.0,Vlit402038,Arenit,4.0,15102034.0
234,15104426.0,Vlit404426,Metapegmatit,4.0,15104095.0
248,15104440.0,Vlit404440,Metatrachyt,4.0,15104095.0
159,15103055.0,Vlit403055,Pyroklastische Brekzie,4.0,15103053.0
254,15104005.0,Vlit404005,"Kakirit, undifferenziert",3.0,15104002.0
143,15103035.0,Vlit403035,Dolerit,4.0,15103026.0
255,15104006.0,Vlit404006,Gesteinsmehl,4.0,15104005.0
145,15103040.0,Vlit403040,Alkalirhyolith,4.0,15103039.0
227,15104419.0,Vlit404419,Metaperidotit,4.0,15104095.0
274,15104033.0,Vlit404033,Serizitschiefer,4.0,15104031.0
104,15103001.0,Vlit403001,Magmatit,1.0,0.0
299,15104060.0,Vlit404060,Amphibolit,4.0,15104053.0
266,15104019.0,Vlit404019,Protomylonit,4.0,15104018.0
107,15103003.0,Vlit403003,"Intrusivgestein, undifferenziert",2.0,15103001.0
232,15104424.0,Vlit404424,Metamikrogranit,4.0,15104095.0
238,15104430.0,Vlit404430,Metalamprophyr,4.0,15104095.0
55,15102040.0,Vlit402040,Riffkalk,4.0,15102034.0
246,15104438.0,Vlit404438,Metaandesit,4.0,15104095.0
149,15103044.0,Vlit403044,Quarzandesit,4.0,15103039.0
68,15102056.0,Vlit402056,"Kohle, undifferenziert",3.0,15102032.0
206,15104217.0,Vlit404217,Metaradiolarit,4.0,15104093.0
218,15104410.0,Vlit404410,Metasyenit,4.0,15104095.0
296,15104057.0,Vlit404057,silikatreicher Marmor,4.0,15104053.0
121,15103012.0,Vlit403012,Syenit,4.0,15103005.0
165,15103062.0,Vlit403062,tuffitisches Konglomerat,4.0,15103060.0
156,15103051.0,Vlit403051,Karbonatit,4.0,15103039.0
90,15102089.0,Vlit402089,Quarzsand,4.0,15102086.0
62,15102047.0,Vlit402047,Süsswasserkalk,4.0,15102034.0
289,15104049.0,Vlit404049,Orthogneis,4.0,15104041.0
32,15102013.0,Vlit402013,kieseliger Sandstein,4.0,15102009.0
286,15104046.0,Vlit404046,agmatischer Gneis,4.0,15104041.0
66,15102053.0,Vlit402053,Spiculit,4.0,15102051.0
46,15102028.0,Vlit402028,Tonmergelstein,4.0,15102024.0
128,15103019.0,Vlit403019,Monzonit,4.0,15103005.0
275,15104034.0,Vlit404034,Chloritschiefer,4.0,15104031.0
81,15102075.0,Vlit402075,"Karbonat, undifferenziert",3.0,15102068.0
147,15103042.0,Vlit403042,Rhyodazit,4.0,15103039.0
268,15104021.0,Vlit404021,Ultramylonit,4.0,15104018.0
276,15104035.0,Vlit404035,Glimmerschiefer,4.0,15104031.0
115,15103006.0,Vlit403006,Alkalogranit,4.0,15103005.0
247,15104439.0,Vlit404439,Metaalkalitrachyt,4.0,15104095.0
231,15104423.0,Vlit404423,Metaganggestein,4.0,15104095.0
236,15104428.0,Vlit404428,Metamikrodiorit,4.0,15104095.0
264,15104016.0,Vlit404016,Ultrakataklasit,4.0,15104010.0
34,15102015.0,Vlit402015,toniger Sandstein,4.0,15102009.0
134,15103026.0,Vlit403026,"Ganggestein, undifferenziert",3.0,15103003.0
162,15103058.0,Vlit403058,Aschentuff,4.0,15103053.0
43,15102025.0,Vlit402025,Siltstein,4.0,15102024.0
125,15103016.0,Vlit403016,Norit,4.0,15103005.0
224,15104416.0,Vlit404416,Metamonzogabbro,4.0,15104095.0
96,15102101.0,Vlit402101,glaukonitischer Kalkstein,4.0,15102034.0
144,15103039.0,Vlit403039,"Ergussgestein, undifferenziert",3.0,15103037.0
251,15104444.0,Vlit404444,metamorph überprägtes pyroklastisches Gestein,4.0,15104095.0
300,15104061.0,Vlit404061,Bänderamphibolit,4.0,15104041.0
72,15102061.0,Vlit402061,Eisenoolith,3.0,15102032.0
312,15104076.0,Vlit404076,Metatexit mit Fleckentextur,4.0,15104074.0
212,15104404.0,Vlit404404,Metaalkalogranit,4.0,15104095.0
269,15104023.0,Vlit404023,Phyllonit,3.0,15104002.0
205,15104216.0,Vlit404216,dolomitischer Marmor,4.0,15104093.0
211,15104403.0,Vlit404403,Metaplutonit,4.0,15104095.0
239,15104431.0,Vlit404431,Metapikrit,4.0,15104095.0
70,15102058.0,Vlit402058,Steinkohle,4.0,15102056.0
61,15102046.0,Vlit402046,detritischer Kalk,4.0,15102034.0
57,15102042.0,Vlit402042,Kalkoolith,4.0,15102034.0
199,15104210.0,Vlit404210,Geröll führender Metasandstein,4.0,15104093.0
307,15104070.0,Vlit404070,Skarn,4.0,15104069.0
97,15102102.0,Vlit402102,Lithothamniensandstein,4.0,15102009.0
73,15102063.0,Vlit402063,"phosphoritreiches Gestein, undifferenziert",4.0,15102032.0
71,15102059.0,Vlit402059,Anthrazit,4.0,15102056.0
10,15102032.0,Vlit402032,"biogenes / biochemisches / organisches Sedimentgestein, undifferenziert",2.0,15102001.0
193,15104204.0,Vlit404204,Metakonglomerat,4.0,15104093.0
245,15104437.0,Vlit404437,Metaquarzandesit,4.0,15104095.0
35,15102016.0,Vlit402016,Arkose,4.0,15102009.0
56,15102041.0,Vlit402041,Kalkbrekzie,4.0,15102034.0
302,15104063.0,Vlit404063,Amphibolitgneis,4.0,15104041.0
190,15104201.0,Vlit404201,Metasediment,4.0,15104093.0
267,15104020.0,Vlit404020,Mylonit,4.0,15104018.0
77,15102070.0,Vlit402070,"Evaporit, undifferenziert",3.0,15102068.0
298,15104059.0,Vlit404059,Rodingit,4.0,15104053.0
258,15104010.0,Vlit404010,"Kataklasit, undifferenziert",3.0,15104002.0
285,15104045.0,Vlit404045,Zweiglimmergneis,4.0,15104041.0
201,15104212.0,Vlit404212,Metasiltstein,4.0,15104093.0
284,15104044.0,Vlit404044,Adergneis,4.0,15104041.0
237,15104429.0,Vlit404429,Metamikrogabbro,4.0,15104095.0
290,15104050.0,Vlit404050,Stronalit,4.0,15104041.0
164,15103061.0,Vlit403061,tuffitische Brekzie,4.0,15103060.0
92,15102092.0,Vlit402092,"pedogenes Karbonat, undifferenziert",3.0,15102080.0
30,15102011.0,Vlit402011,Kalksandstein,4.0,15102009.0
228,15104420.0,Vlit404420,nephelinitischer Metasyenit,4.0,15104095.0
135,15103027.0,Vlit403027,Mikrogranit,4.0,15103026.0
321,15104087.0,Vlit404087,Albitit,3.0,15104084.0
