OBJECTID,GEOL_CODE_INT,GEOL_CODE,GERMAN,TREE_LEVEL,PARENT_REF
1258,15200464,Vlit500464,Leutschenberg-Member,4.0,15200130.0
297,15200060,Vlit500060,Obere Oolithische Serie (Grande Oolithe),5.0,15200380.0
1295,15200501,Vlit500501,Hohenolber-Tuffit,5.0,15200274.0
25,15200278,Vlit500278,Uetliberg-Mergel,5.0,15200276.0
575,15202129,Vlit502129,Tierces-Formation,3.0,15202120.0
694,15202243,Vlit502243,Guspis-Gneis,3.0,15202346.0
16,15200269,Vlit500269,Hörnligubel-Mergel,5.0,15200297.0
934,15203190,Vlit503190,Goli-d'Aget-Member,2.0,15203186.0
1120,15205059,Vlit505059,Val-Serrata-Tuffite,2.0,15205058.0
323,15200068,Vlit500068,Hirnichopf-Member,4.0,15200009.0
27,15200280,Vlit500280,Pfannenstiel-Schichten,4.0,15200262.0
558,15202112,Vlit502112,Gursbach-Fossilhorizont,4.0,15202108.0
3221,15204092,Vlit504092,Nair-Porphyroid,2.0,15204091.0
34,15200287,Vlit500287,Wehrenbach-Höckler-Süsswasserkalk,5.0,15200281.0
3057,15200575,Vlit500575,Jurensismergel-Formation,3.0,15200056.0
229,15200025,Vlit500025,Couvaloup-Member,4.0,15200023.0
900,15203167,Vlit503167,Fadura-Formation,2.0,15203162.0
281,15200045,Vlit500045,Schellenbrücke-Bank,5.0,15200044.0
569,15202123,Vlit502123,Monts-Rosset-Formation,3.0,15202120.0
1261,15200467,Vlit500467,Grenzdolomit,5.0,15200131.0
897,15203164,Vlit503164,Oberälpli-Formation,2.0,15203162.0
1091,15205030,Vlit505030,Scaglia Bianca Lombarda,2.0,15205028.0
933,15203189,Vlit503189,Dent-de-Nendaz-Member,2.0,15203186.0
39,15200292,Vlit500292,Hüllistein-Konglomerat,4.0,15200290.0
273,15200006,Vlit500006,Bärschwil-Formation,3.0,15200012.0
1250,15200456,Vlit500456,Landaize-Kalk,5.0,15200024.0
756,15203030,Vlit503030,Rontins-Member,3.0,15203027.0
90,15200392,Vlit500392,Graue Molasse,4.0,15200311.0
457,15202015,Vlit502015,Jochstock-Konglomerat,3.0,15202013.0
530,15202085,Vlit502085,Pygurus-Member,3.0,15202084.0
35,15200288,Vlit500288,Küsnacht-Bentonit,5.0,15200507.0
1027,15204047,Vlit504047,Mora-Member,3.0,15204045.0
823,15203241,Vlit503241,Gips der Klippen-Decke,3.0,15203062.0
463,15202018,Vlit502018,Tsanfleuron-Member,3.0,15202016.0
1244,15200450,Vlit500450,Astieria-Mergel,3.0,15200153.0
3274,15206020,Vlit506020,"Lithologische Einheit, undifferenziert",2.0,15206016.0
1230,15202351,Vlit502351,Paradis-Gneiskomplex,2.0,15202340.0
3092,15202375,Vlit502375,Waltensburg-Verrucano,3.0,15202153.0
75,15200406,Vlit500406,Ulmiz-Quarzitnagelfluh,5.0,15200402.0
1150,15203266,Vlit503266,Sex-du-Tronc-Kalk,2.0,15203257.0
214,15200013,Vlit500013,Vouglans-Member,4.0,15200001.0
322,15200067,Vlit500067,Waldenburg-Member,4.0,15200009.0
3136,15202419,Vlit502419,Col-du-Jorat-Member,3.0,15202141.0
244,15200106,Vlit500106,Wangental-Member,5.0,15200105.0
503,15202058,Vlit502058,Plattenwald-Bank,4.0,15202053.0
531,15202086,Vlit502086,Spitzern-Member,3.0,15202084.0
3151,15202434,Vlit502434,Vuavres-Member,4.0,15202432.0
1006,15204026,Vlit504026,Mitgel-Member,2.0,15204024.0
46,15200299,Vlit500299,Horgen-Käpfnach-Süsswasserkalk,5.0,15200509.0
122,15200336,Vlit500336,Grès et Marnes Gris à Gypse,4.0,15200335.0
151,15200360,Vlit500360,Jordisboden-Mergel,5.0,15200358.0
220,15200017,Vlit500017,Cladocoropsis-Kalk,5.0,15200187.0
1268,15200474,Vlit500474,Lacunosamergel-Formation,3.0,15200012.0
1079,15205018,Vlit505018,Chiasso-Formation,2.0,15205010.0
341,15200082,Vlit500082,Frick-Member,4.0,15200011.0
3096,15202379,Vlit502379,Schöllenen-Diorit,2.0,15202177.0
1252,15200458,Vlit500458,Hautes-Roches-Algenkalk,6.0,15200191.0
103,15200316,Vlit500316,Kronberg-Nagelfluh,4.0,15200329.0
1334,15200540,Vlit500540,Ebnat-Sandstein,5.0,15200319.0
467,15202022,Vlit502022,Hohgant-Sandstein,3.0,15202020.0
795,15203068,Vlit503068,Griggeli-Bank,3.0,15203066.0
219,15200016,Vlit500016,Grenznerineen-Bank,5.0,15200187.0
447,15202009,Vlit502009,Elm-Formation,3.0,15202005.0
1365,15200572,Vlit500572,Les-Bayards-Juranagelfluh,5.0,15200302.0
1130,15205069,Vlit505069,Basaler Tuf,2.0,15205065.0
1339,15200545,Vlit500545,Molasse Rouge des Jurasüdfusses,5.0,15200338.0
263,15200034,Vlit500034,Buix-Member,4.0,15200005.0
82,15200411,Vlit500411,Dreilinden-Nagelfluh,5.0,15200309.0
1265,15200471,Vlit500471,Liegende-Bankkalke-Formation,3.0,15200012.0
765,15203039,Vlit503039,Moléson-Formation,2.0,15203269.0
3144,15202427,Vlit502427,«Calcarénites beiges oolitiques»,2.0,15202047.0
785,15203058,Vlit503058,Agreblierai-Member,3.0,15203056.0
276,15200042,Vlit500042,Renggeri-Member,4.0,15200006.0
1359,15200566,Vlit500566,Haldenhof-Mergel,4.0,15200295.0
3161,15202444,Vlit502444,Saix-Member,4.0,15202440.0
1253,15200459,Vlit500459,Akzessorische Mumienbänke,6.0,15200191.0
291,15200008,Vlit500008,Hauptrogenstein,3.0,15200055.0
620,15202171,Vlit502171,Estuarisches Member,3.0,15202169.0
1196,15202317,Vlit502317,Gros-Plané-Melange,2.0,15202307.0
1255,15200461,Vlit500461,Bleiglanz-Bank,5.0,15200142.0
209,15200156,Vlit500156,Goldberg-Formation,2.0,15200161.0
192,15200094,Vlit500094,Rivière-Member,4.0,15200093.0
1044,15204064,Vlit504064,Trochitendolomit-Member,2.0,15204063.0
853,15203122,Vlit503122,Untere Tonsteinschichten,3.0,15203121.0
1225,15202346,Vlit502346,Val-Nalps-Gneiskomplex,2.0,15202340.0
257,15200194,Vlit500194,Grüne Mumienbank,7.0,15200031.0
485,15202040,Vlit502040,Chruteren-Member,3.0,15202036.0
95,15200419,Vlit500419,Montécu-Schichten,5.0,15200418.0
727,15203002,Vlit503002,Chesselbach-Formation,2.0,15203001.0
747,15203021,Vlit503021,Chenaux-Rouges-Mineralkruste,3.0,15203019.0
1338,15200544,Vlit500544,Kännelegg-Nagelfluh,5.0,15200543.0
522,15202077,Vlit502077,Drusberg-Member,3.0,15202075.0
432,15202280,Vlit502280,Sardona-Melange,3.0,15202279.0
806,15203079,Vlit503079,Brand-Formation,2.0,15203275.0
109,15200324,Vlit500324,Bunte Rigi-Nagelfluh,5.0,15200322.0
647,15202198,Vlit502198,Guttannen-Gneiskomplex,2.0,15202194.0
1203,15202324,Vlit502324,Murgtal-Formation,3.0,15202144.0
86,15200413,Vlit500413,Kirchberg-Formation,4.0,15200308.0
1326,15200532,Vlit500532,Losenegg-Formation,4.0,15200335.0
622,15202173,Vlit502173,Grünhorn-Member («Vulkanisches Member»),3.0,15202169.0
3376,15202445,Vlit502445,Cergnement-Member,5.0,15202429.0
593,15202144,Vlit502144,Glarus-Verrucano,2.0,15202143.0
998,15204018,Vlit504018,Blaisun-Member,2.0,15204016.0
55,15200302,Vlit500302,Jura-Nagelfluh,4.0,15200300.0
1095,15205034,Vlit505034,Rosso ad Aptici,2.0,15205033.0
230,15200102,Vlit500102,Burghorn-Formation,3.0,15200012.0
204,15200097,Vlit500097,"Pierre-Châtel-, Vions- und Chambotte-Formation, undifferenziert",2.0,15200161.0
464,15202019,Vlit502019,Diablerets-Member,3.0,15202016.0
577,15202131,Vlit502131,Prodkamm-Formation,3.0,15202120.0
196,15200151,Vlit500151,Pierre Jaune de Neuchâtel,3.0,15200150.0
338,15200078,Vlit500078,Müsenegg-Bank,4.0,15200011.0
2,15200255,Vlit500255,Obere Süsswassermolasse (OSM),2.0,15200254.0
3268,15206014,Vlit506014,Zocca-Aplit,2.0,15206003.0
445,15202008,Vlit502008,Gruontal-Konglomerat,4.0,15202006.0
1322,15200528,Vlit500528,Gitzischöpf-Nagelfluh,4.0,15200335.0
523,15202078,Vlit502078,Altmann-Member,3.0,15202075.0
3130,15202413,Vlit502413,«Untere Zementsteinschichten»,3.0,15202093.0
1275,15200481,Vlit500481,Grenzkalk,5.0,15200480.0
390,15200218,Vlit500218,Playa-Serie,2.0,15200158.0
1140,15204086,Vlit504086,Trias des Ostalpins,1.0,0.0
517,15202072,Vlit502072,Rohrbachstein-Bank,4.0,15202071.0
362,15200131,Vlit500131,Asp-Member,4.0,15200130.0
73,15200404,Vlit500404,Sädel-Kalknagelfluh,5.0,15200408.0
346,15200087,Vlit500087,Gächlingen-Bank,5.0,15200086.0
767,15203041,Vlit503041,Staldengraben-Formation,2.0,15203272.0
825,15203096,Vlit503096,St-Triphon-Formation,2.0,15203276.0
1354,15200560,Vlit500560,Untere Bunte Molasse des Jurasüdfusses,5.0,15200338.0
533,15202088,Vlit502088,Sichel-Kalk,2.0,15202047.0
1045,15204065,Vlit504065,Brachiopodenkalk-Member,2.0,15204063.0
818,15203091,Vlit503091,Holzerhorn-Einheit,4.0,15203089.0
366,15200212,Vlit500212,Eptingen-Member,4.0,15200130.0
1174,15203290,Vlit503290,Coicon-Serie,2.0,15203133.0
298,15200197,Vlit500197,Wittnau-Korallenkalk,5.0,15200380.0
292,15200380,Vlit500380,Oberer Teil des Hauptrogensteins,4.0,15200008.0
800,15203073,Vlit503073,Musenalp-Member,3.0,15203069.0
1262,15200468,Vlit500468,Estherien-Schichten,5.0,15200131.0
904,15203171,Vlit503171,Klus-Formation,2.0,15203162.0
871,15203139,Vlit503139,Spatkalk (Tissota-Melange),3.0,15203131.0
