GeolCodeInt,DE,FR,IT,EN
15001111,Kungurien,Kungurien,Kunguriano,Kungurian
15001113,Artinskien,Artinskien,Artinskiano,Artinskian
15001115,Sakmarien,Sakmarien,Sakmariano,Sakmarian
15001117,Asselien,Assélien,Asseliano,Asselian
15001119,Karbon,Carbonifère,Carbonifero,Carboniferous
15001120,Pennsylvanien,Pennsylvanien,Pennsylvaniano,Pennsylvanian
15001121,Spätes Pennsylvanien,Pennsylvanien tardif,Pennsylvaniano tardivo,Late Pennsylvanian
15001137,Gzhélien,Gzhélien,Gzheliano,Gzhelian
15001138,Kasimovien,Kasimovien,Kasimoviano,Kasimovian
15001122,Mittleres Pennsylvanien,Pennsylvanien moyen,Pennsylvaniano medio,Middle Pennsylvanian
15001139,Moscovien,Moscovien,Moscoviano,Moscovian
15001123,Frühes Pennsylvanien,Pennsylvanien précoce,Pennsylvaniano precoce,Early Pennsylvanian
15001140,Bashkirien,Bashkirien,Bashkiriano,Bashkirian
15001124,Mississippien,Mississippien,Mississippiano,Mississippian
15001125,Spätes Mississippien,Mississippien tardif,Mississippiano tardivo,Late Mississippian
15001141,Serpukhovien,Serpukhovien,Serpukhoviano,Serpukhovian
15001126,Mittleres Mississippien,Mississippien moyen,Mississippiano medio,Middle Mississippian
15001142,Viséen,Viséen,Viseano,Visean
15001127,Frühes Mississippien,Mississippien précoce,Mississippiano precoce,Early Mississippian
15001143,Tournaisien,Tournaisien,Tournaisiano,Tournaisian
15001128,Devon,Dévonien,Devoniano,Devonian
15001131,Spätes Devon,Dévonien tardif,Devoniano tardivo,Late Devonian
15001130,Mittleres Devon,Dévonien moyen,Devoniano medio,Middle Devonian
15001129,Frühes Devon,Dévonien précoce,Devoniano precoce,Early Devonian
15001132,frühes Paläozoikum,Paléozoïque précoce,Paleozoico precoce,early Paleozoic
15001133,Silur,Silurien,Siluriano,Silurian
15001144,Pridoli,Pridoli,Pridoli,Pridoli
15001145,Ludlow,Ludlow,Ludlow,Ludlow
15001146,Wenlock,Wenlock,Wenlock,Wenlock
15001147,Llandovery,Llandovery,Llandovery,Llandovery
15001134,Ordovizium,Ordovicien,Ordoviciano,Ordovician
15001148,Spätes Ordovizium,Ordovicien tardif,Ordoviciano tardivo,Late Ordovician
15001149,Mittleres Ordovizium,Ordovicien moyen,Ordoviciano medio,Middle Ordovician
15001150,Frühes Ordovizium,Ordovicien précoce,Ordoviciano precoce,Early Ordovician
15001135,Kambrium,Cambrien,Cambriano,Cambrian
15001152,Präkambrium,Précambrien,Precambriano,Precambrian
15001136,Proterozoikum,Protérozoïque,Proterozoico,Proterozoic
15001153,Archaikum,Archéen,Archeano,Archean
15001154,Hadaikum,Hadéen,Adeano,Hadean
