OBJECTID,UUID,FMAT_LITSTRAT
117,{09EF1CB0-290E-4C9D-8613-2667AD398969},15200249
120,{CCA526FF-6478-4BC5-A4E8-359AE6F427F2},15200431
121,{ED6EFAD2-BFD9-489D-B0E4-2B3898E2A0F4},15200312
124,{2EBFD589-85CD-4504-A429-9E7531D3A07B},15200345
125,{20287A10-1028-46C7-A8F3-B3404D3E0A70},15200366
126,{055FEDC0-B8BF-4324-B009-6180689323BC},15200416
127,{D8E86AF4-2052-4B6B-9D46-316A2CCD91B0},15200184
128,{3F308452-9E90-4D75-BECB-D9DAC7DE980E},15200254
129,{2EB69935-4906-4D3F-B182-AB3E8A2F4054},15200332
130,{19FC515A-C0FA-42C0-9DCF-372286B76D99},15200338
131,{F31336EB-68BE-4628-ACD7-3CE01A4435CF},15200083
132,{E3C86AD5-6F54-4CBF-8BB4-7D9B23B36A92},15200386
133,{EAC82EBB-05D4-4D1D-9C16-36E682E537F0},15200119
140,{15EFF564-E1B4-4CA0-A15F-45CFF0BA198C},15200148
141,{FB6E47EE-6468-401C-9A89-474E173E8A73},15200331
143,{D805E554-6B46-4F4E-8E88-2F833AB310BD},15200429
144,{5B7E77AB-D674-4878-975D-A117B9871704},15200307
145,{323CAEBC-FE9C-4E6E-BE0B-7C6D6F00C136},15200136
146,{FC2F98CB-D988-49C4-A3FA-6F5F01D9D330},15200255
147,{FD6290E1-7F55-458A-9923-D138CB97BFBE},15200343
151,{B5C742CD-36E2-4014-82C0-4FCB62D7D3A1},15200311
152,{339AA517-118F-4F09-9A58-689E500FB0B0},15200308
228,{F3D8E9BE-940A-4B1D-804A-CCC65E74E56D},15200032
229,{193290EA-6926-4CC2-B7AD-3A7BA2073AAD},15200013
230,{2405798F-2CB0-474B-BF6F-B4DA6BA4835F},15200153
231,{B71AE56E-6A81-4E09-95DA-99329F02DE6E},15200067
232,{E92E33F1-BB97-4742-990D-2337683C9D13},15200110
233,{8CD486FB-5F47-400B-B9C1-8988B78EBEE2},15200106
235,{004B86C9-9868-42A7-B25B-66E00DB6E6F3},15200085
237,{F640736C-232E-4E5B-99C8-12BEC449BDD9},15200142
238,{BCE07A9F-0FCD-442F-AF9F-031F51D9BB14},15200141
239,{4D6A1ECC-64CB-4EC7-A881-3DA3F8E13B58},15200103
243,{CD4173B5-8D71-42A0-ACEE-53410887FF28},15200135
244,{F30D694D-9339-482D-B8BE-1733A473E144},15200425
1,{2C36985C-E0E9-4AC7-B379-4B3BD1B5E053},15200397
26,{A62F9B3F-D2CE-4707-89D0-244267E2E235},15200065
56,{982AFE0A-A29D-455D-881A-F7CD007466ED},15200365
69,{007933C7-13D1-46BC-8338-6B38AD8A610E},15200274
80,{322EFB57-4956-4C61-AF3E-708E5C94D719},15200336
95,{56E37327-6796-4DA5-BBBC-865C3D4B49FD},15200380
109,{A0E44BD1-059C-4778-BE3F-29C657C440F9},15200126
123,{4B3ED2D0-6F0E-44FE-832D-CD5BB4383E70},15200012
135,{22815736-A560-4501-BC69-2172A0A1EB0D},15200248
148,{D3D22673-CCFA-4BAA-97AF-7B7725E0D7D1},15200217
153,{E0CB126D-DB56-4B40-8D80-5C5A166272BA},15200062
167,{6F53A338-15FD-4FDE-BD21-AB53D1553ABA},15200133
181,{09E510A4-3C66-4F2A-9D76-A2412675DEC8},15200064
196,{81491E6F-B59C-4D46-842F-4595BF252ABC},15200041
210,{1C986D43-28FB-4AFB-8D63-885D7EABD120},15200001
227,{508D2293-07D4-46E3-A04F-9467D7CC64C2},15200179
10,{727155F4-62D1-4C05-8866-252EA9D883CF},15200188
28,{4446DC1D-B47E-4055-A9E8-07E5C966E547},15200034
46,{A8F6AFA7-CE0C-410A-9A72-C1074A3FD017},15200144
62,{91DCEE8B-FD61-4B3A-96FC-011259975D77},15200209
84,{029482A2-0B23-449E-9EBD-E12708B13BDE},15200194
100,{A9D00469-D542-47A2-864B-24AC9690760C},15200178
118,{7DC53F92-37AE-4DA9-9694-6AF72FDFC360},15200107
134,{247C3AC8-9602-415F-AE9A-9234FEBE3ADF},15200059
150,{5C00544D-2DEE-4240-AF78-E7D1CDA3B859},15200192
166,{978DAC86-596A-47E3-A84C-112062DC207A},15200101
186,{CB2A3152-15A2-42D4-9298-5BD702C2B29A},15200089
203,{C13A5FDC-E763-4A4F-89BF-28FEBDE8B72F},15200193
9,{7EE3DCD5-FCDB-4218-AB5A-13D5BF418123},15200104
119,{47B52A05-C98A-4292-BD01-D0E6F3670D5C},15200040
180,{A22AAE52-B1E6-4B82-9854-3A0A8F07B4EE},15200031
41,{2040A6D3-3B56-4AC5-8946-6D1AE43D3148},15200025
189,{FB32959A-C4D1-4C31-BDE9-06F84C04AA1F},15200130
122,{38175F0D-ACA3-45AA-86B3-49FA98880538},15200199
8,{A1D3D05E-FE6F-45D0-8085-B4CD4A99403C},15200131
204,{80FFCBB2-1DD5-4540-BE44-1E8D8583D475},15200123
149,{4F1CA3A1-2763-48CA-9E37-777DA5B4BFA3},15200015
216,{E1C935B9-B14B-49BC-A52F-E42EA633786E},15200018
43,{30D0FED1-D6E7-46B8-8EB0-339F98986F8E},15200022
40,{5D35D43F-92D2-41B6-B793-A3B4ACD2C393},15200019
13,{05445500-539E-4FE4-BBFA-F58D332F9D2A},15200006
241,{3A93FA42-B829-4DC7-A777-F4143637595E},15200114
7,{B9750E0C-0D07-48F7-8F55-99BCAC207094},15200155
183,{FCE02193-EB80-465C-B06D-4741C66DFB06},15200313
21,{D1DC3260-F0CD-4CE1-B38B-FE4CC243E2B0},15200301
101,{78BC281E-6EAC-465A-8A9C-6CB5F2B50CFA},15200111
94,{506F14BA-0FCF-48C1-82FF-B9D38FBE015A},15200382
67,{F6EDE321-B0A5-495B-9345-0463E6AD983C},15200074
3,{50069015-C399-480D-9013-98D5205E6D14},15200154
31,{FD04566D-2B38-4918-ABEF-EBC002DDC21B},15200102
212,{84BE6F1C-BBA0-4273-8CD0-4ACBFA9198DE},15200201
187,{052002CA-A2AC-4844-9FCA-8B59D080B2EA},15200045
12,{6D4208C1-3228-4A84-909E-57D18E5C820A},15200020
96,{430CB3BA-6CFE-42B1-8E93-DF041D44C196},15200152
136,{16E3C95A-A3CB-4316-8F60-01B267B032B0},15200129
178,{FFC97DFB-8FD1-4DDF-86FE-E73345168DE8},15200077
82,{61951AD8-C973-4FB8-9C07-81C4855A6E73},15200071
19,{240D843E-83FB-4D67-A973-81D543236C6C},15200117
97,{C36CE51B-1A0A-418B-9F7C-CA6CD7E1A5A8},15200044
209,{12C864E5-26C7-4F90-80A3-F5D1C7AECDBC},15200134
59,{9AE0161A-7306-4F36-A27F-278421786E5E},15200182
51,{E809C1BC-1AD1-4192-B28C-844BB5945804},15200073
208,{88D5A15E-32D5-4E7F-B936-426457F77E17},15200132
175,{DFA9FE70-C416-4B55-BCDE-24CBE0E1789B},15200042
220,{B9CF4D94-FE74-4446-9764-98B84E6CA04C},15200183
25,{F8C0388B-56C4-47CC-9D71-4168393FE2B9},15200079
142,{7AE9DBEF-E846-4879-9CA3-37C14AEFD380},15200061
139,{0C08F575-A47D-4495-BABC-E94C708D67D4},15200181
35,{7A207047-5565-433D-8618-16D2F65FD54C},15200053
221,{8C2FF938-8097-4745-A04A-0053F274A1D0},15200021
79,{E421C796-A4A5-4E4B-82C9-A2C13CF1B16B},15200016
61,{B6A85900-9BE9-484B-83E6-C07E6DFA49CF},15200087
16,{5A17EF1D-BD5C-40DA-9098-065222691D51},15200086
60,{1AAB4DEA-B3F7-4643-B495-0885DCD08560},15200198
106,{F8529D9D-9B8B-4A51-B77B-9018AA61F540},15200139
73,{9D87A0E4-65EA-40DF-87F6-D4695FE383E0},15200043
161,{45CBC9B4-4A43-4C20-9F0C-D946F82D4B16},15200149
211,{5BF5EA0B-C24A-46D3-84AC-719C49B2A4DE},15200048
53,{D730C776-FE13-4344-98C7-957742913C40},15200084
6,{C53E0FB1-5524-48C7-AAB7-88C1C49D2D2B},15200052
157,{638B3BB1-5D8B-47C1-AE0A-6227BA1843EB},15200300
242,{C0DFE45E-00AD-4BC1-A1FD-D2786113C308},15200122
138,{C4BB1359-C8BE-439C-8E49-D292FCD5EB4A},15200078
50,{5CEC1DB4-53E2-407B-BA6C-9D68CEF83791},15200072
156,{528DA3A8-654D-4B2C-95D2-902A007CC1B5},15200140
225,{528F54EC-CB6D-4C0E-9792-4802CC881CAC},15200105
981,{56C6B3E0-A1EB-4D9C-9D1E-3EE35F43C9D4},15200398
982,{69028BCE-62AD-4420-9361-644181CA70AF},15200401
983,{B60BF96A-C0EE-4317-84E4-D4EB9E04156E},15200402
984,{817EC861-921B-46A6-B0D4-CF66523C6E94},15200403
985,{70880030-A998-401A-9BD5-72A070FEFA59},15200404
986,{B70DE10E-5AE3-4C01-9C56-EC102B1A9A34},15200405
987,{8C22E5CE-2650-42BF-B7E0-1B729369F138},15200406
988,{A2DE3DB8-1759-4D07-B424-F4408743C760},15200407
989,{7B15C09D-24F3-48C0-877E-45C45B14FDC3},15200408
990,{3F7F1623-CD9E-4070-8086-B5C0FC689D04},15200409
991,{54516372-9C6C-4D31-A097-7E14AD734935},15200410
992,{879E50E1-F519-4F97-B829-ABAD745597A7},15200411
993,{8DCDD628-804B-4731-9CBF-5B18AF0D37F6},15200412
994,{EE83E9EA-ADA3-4BF5-AB7F-563D2EC3DEEF},15200413
995,{E6053383-2711-4E17-9136-70B9B76072A4},15200414
996,{07746230-87D0-4F21-8ADC-DEE0D6B302CD},15200418
997,{391942A4-E681-4EB1-8E05-3DD8BD220882},15200419
998,{29055D08-A384-4000-B7E9-97832E5F01BF},15200420
999,{28A32A9F-366C-4C63-BDA3-33614D10E5A3},15200421
1000,{6D27D979-66AC-49F0-B753-C4DAC2A4782E},15200423
1001,{EF7D8842-3E0A-4174-945F-29DEA2C1B798},15200424
1002,{D8E54384-2065-4133-AE7C-54AE5C96D69F},15200426
1003,{45E757E2-38BB-4DBF-8999-754BDD952105},15200430
1004,{31DC2C80-8B40-46E0-80F3-73F3DFF306AB},15200432
154,{9385C955-6826-4167-8A85-0506620EE95C},15200028
155,{6903B9E8-2372-47C1-BD53-D8408E399DC8},15200010
1005,{0D4F2C69-F4B5-49E3-8528-295F7E8F5916},15200433
158,{4A88910E-28E8-4381-A274-4F3726921962},15200202
159,{7089F279-CAC3-4B31-8E75-4872DD3DEB6B},15200009
160,{9D56C123-4212-4289-AF46-0B25EE0AFB23},15200195
162,{880349DA-F127-4D3D-A9F2-592670F9CF17},15200039
163,{C3165274-5B52-4A66-8B64-26B88FB37EF8},15200058
164,{EF2BB0B2-8D37-4D94-AB9F-67BCAF321438},15200151
165,{61B14098-66FE-4B2D-B85C-E9E27B051B4F},15200097
168,{5E15D4DB-1673-4EC5-A739-3E382AC6D4DB},15200146
169,{ED153BD1-8B89-48F3-8257-3CE93C0FFE2F},15200218
171,{D25760FF-7F7A-4152-9123-503FAD5EA3EB},15200370
172,{9C913D99-AC50-4A47-A1CF-AFFD541C9598},15200026
173,{671A92A3-B617-4972-B285-FFE53319658D},15200371
174,{918B424D-09D3-4904-A882-E3C8F1B4F585},15200400
1008,{2AA3FEFE-05E2-4EA3-B25D-10FC57C707A4},15200436
176,{F0E8D6F1-6BCE-4FE7-A688-3C561077709C},15200002
177,{39FC9DF1-CC49-46A0-AC72-A63C3743B52E},15200145
1009,{2A6266F5-6573-47D6-B126-C069CF02898E},15200437
179,{16AF6C37-DE00-4693-B813-91DAECA4DC69},15200075
1010,{263FE0CE-037D-46C2-BED4-C1DDA3D97416},15200438
182,{E1B39755-FA22-445A-B600-9E7126A82063},15200095
1011,{D67E22B7-449E-42A7-A4CE-67A591627230},15200439
184,{A73CC682-85CD-4196-BF9C-5F7EFAB63126},15200137
185,{1B048AE6-00D1-4D12-879E-F5C809C50816},15200050
1012,{E8C1A841-1812-40F9-8F2F-9EEC8AC52D3C},15200440
188,{15BE1C48-DA09-4D42-B490-63817C7068A0},15200051
1013,{CBB2B55D-A0AB-4C12-A8B9-3A81466E7722},15200441
190,{E71A6B16-73A4-45B3-B0EF-1E65DFFB6AF9},15200088
191,{AC56ED6D-A86A-4D70-962F-8EEE0BB09085},15200227
192,{805BCB30-B066-4214-BDD5-778841313741},15200206
193,{8E75480F-67A4-409F-B69F-615B50C99346},15200363
194,{1FAA02E6-6E31-4C83-A149-FDC8A3884CE5},15200091
195,{CBAF2E9B-7A55-4161-8540-47E559F738F3},15200070
197,{A483F15C-7B1C-4276-B1FC-2F6C98318BAC},15200057
198,{82FEEBF9-B02B-42AA-BB29-A2915B08291C},15200054
199,{823A4147-2164-4686-B384-37F0FA5559BD},15200309
