OBJECTID,GEOL_CODE,GERMAN,PARENT_REF,TREE_LEVEL,GEOL_CODE_INT
174,Vlit402093,Caliche,15102092.0,4,15102093
78,Vlit401073,Halde,15101069.0,4,15101073
283,Vlit404213,Tonschiefer sedimentärer Protolith erkennbar,15104093.0,4,15104213
400,Vlit404085,Biotitit,15104084.0,3,15104085
340,Vlit404011,"Rauwacke, Kataklasit",15104010.0,4,15104011
177,Vlit402101,glaukonitischer Kalkstein,15102034.0,4,15102101
108,Vlit402007,Konglomerat,15102005.0,4,15102007
353,Vlit404031,"Schiefer, undifferenziert",15104027.0,3,15104031
223,Vlit403034,Pikrit,15103026.0,4,15103034
241,Vlit403056,Lapillituff,15103053.0,4,15103056
146,Vlit402052,Radiolarit,15102051.0,4,15102052
307,Vlit404418,Metapyroxenit,15104095.0,4,15104418
39,Vlit401061,"äolisches Sediment, undifferenziert",15101001.0,2,15101061
291,Vlit404402,metamorph überprägtes Intrusivgestein,15104095.0,4,15104402
333,Vlit404445,Metaignimbrit,15104095.0,4,15104445
331,Vlit404443,Metaphonolit,15104095.0,4,15104443
12,Vlit401008,Lawinenschutt,15101003.0,3,15101008
272,Vlit404202,Metapsephit,15104093.0,4,15104202
368,Vlit404047,Leptinit,15104041.0,4,15104047
341,Vlit404012,tektonische Dolomitbrekzie,15104010.0,4,15104012
323,Vlit404434,Metarhyolith,15104095.0,4,15104434
53,Vlit401013,Plateaulehm,15101012.0,4,15101013
30,Vlit401056,Strandablagerungen,15101044.0,3,15101056
125,Vlit402026,Tonstein,15102024.0,4,15102026
185,Vlit403001,Magmatit,,1,15103001
180,Vlit402104,glaukonitischer Mergel,15102024.0,4,15102104
110,Vlit402010,Quarzsandstein,15102009.0,4,15102010
247,Vlit403063,tuffitischer Sandstein,15103060.0,4,15103063
361,Vlit404039,Talkschiefer,15104031.0,4,15104039
252,Vlit404002,Gestein der Störungszone,15104001.0,2,15104002
402,Vlit404087,Albitit,15104084.0,3,15104087
346,Vlit404018,"Mylonit, undifferenziert",15104002.0,3,15104018
170,Vlit402088,Huppererde,15102086.0,4,15102088
392,Vlit404075,Migmatit,15104074.0,4,15104075
26,Vlit401044,"lakustrisches Sediment, undifferenziert",15101001.0,2,15101044
322,Vlit404433,Metaalkalirhyolith,15104095.0,4,15104433
87,Vlit402003,"klastisches Sedimentgestein, undifferenziert",15102001.0,2,15102003
139,Vlit402043,Nummulitenkalk,15102034.0,4,15102043
191,Vlit403037,"Extrusivgestein, undifferenziert",15103001.0,2,15103037
375,Vlit404055,"Marmor, Fels",15104053.0,4,15104055
135,Vlit402039,Rudit,15102034.0,4,15102039
68,Vlit401039,"Alluvion, undifferenziert",15101026.0,3,15101039
304,Vlit404415,Metamonzodiorit,15104095.0,4,15104415
