OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,TREE_LEVEL,DESCRIPTION,GEOLCODE
399,{88E0C2FB-F535-429A-8143-04F34ECF4139},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Jüngere Flussablagerungen,15200226
400,{D2414C47-D487-4707-AF45-61947B2B1AD2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Seeablagerungen,15200227
401,{0AD79D68-4E88-4C41-A5C4-60127E635A57},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Weiach-Fm.: Ältere Flussablagerungen,15200228
402,{D9E10D72-93FE-432F-ADAA-60109345112C},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Weiach-Fm.: Ältere Flussablagerungen: Kohle-Serie,15200229
403,{E7D1E93D-BAF0-4452-AD44-33D4C4CECE31},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schwarzwald-Massiv: Früh- bis mittelvariszische Intrusiva,15200230
404,{A1550C97-2A18-4C46-863B-A99DADE68A72},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Albtal-Granit,15200231
405,{CE75A414-2447-4D36-AEC1-2C37151F88B3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Malsburg-Granit,15200232
406,{DFB8D8B0-3B29-4427-A507-754CB5A07C45},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Blauen-Granit,15200233
407,{99FCB5E0-E6DD-46F1-BD10-75A8388B1239},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Klemmbach-Granit,15200234
408,{6BF1AA02-8DD7-4001-9F66-A94D1C0C28DC},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Randgranit,15200235
409,{A1AD8AE5-E401-4FAC-8F23-990B06B9B418},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Münsterhalden-Granit,15200236
410,{B7891700-C693-4A65-AE81-A31D25D60F64},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Schönau-Herrenschwand-Granit,15200237
411,{546523C3-4132-4A2F-927E-67A212DDD8A3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,St.-Blasien-Granit,15200238
412,{AEA155E0-6BA3-42F5-82F3-B0EBA67CF20A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Mambach-Granit,15200239
413,{B69BD208-B7F1-4393-9EAC-AC551706C2A4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Lenzkirch-Steina-Granit,15200240
414,{2AB87424-7F1C-4FE1-BD99-221A4388B9C2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Hauenstein-Granit,15200241
415,{A2AA7FC6-66B1-4DBC-907A-06D897CE4FEE},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Böttstein-Granit,15200242
416,{9C77D14B-68A8-4BBB-B514-6239B7ADFAE3},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schwarzwald-Massiv: Früh- bis mittelvariszische Sedimente,15200243
418,{5884961B-1D50-450C-B8D0-E1843D367073},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schwarzwald-Massiv: Prävariszisches polyzyklisches Grundgebirge,15200245
419,{09857E5F-0430-44E3-9135-F311B7D2E058},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Schwarzwald-Massiv: Prävariszische Orthogneise,15200246
420,{63BF0487-5AD6-483F-BE25-568690AE973B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Todtmoos-Gneiskomplex,15200247
421,{FD539E0D-B335-4193-99E3-C9A71CB17388},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Murgtal-Gneiskomplex,15200248
422,{C8341BB4-91B9-4D2B-888E-D68557D232FD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Laufenburg-Gneiskomplex,15200249
423,{385A9755-94D0-420A-B1C7-DBEB20C4DD71},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Schwarzwald-Massiv: Prävariszische Migmatite,15200250
424,{67406FE4-783C-4DDA-99D7-C15BFD46E624},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Wiesen-Wehratal-Gneiskomplex,15200251
425,{661D57B0-4ADA-429A-B4C8-B6799834FCA4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Wiesen-Wehratal-Gneiskomplex: Wehratal-Syenit,15200252
426,{60CBB681-620F-4251-8565-096FB6096607},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Schwarzwald-Massiv: Prävariszische Grüngesteine,15200253
1,{F8BAEDA1-3406-4DC9-9968-BA103B8163B4},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,1.0,Molasse,15200254
2,{FCF676C6-69EB-4046-9AAC-EC309ABF31E2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,OSM (Obere Süsswassermolasse),15200255
3,{06866E15-63D0-41C9-BC6C-CF1D35AD0845},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Pfänder-Fm.: Tannenberg-Sch.,15200256
4,{089699BB-840F-48CB-BBB5-C8661574D2D1},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Pfänder-Fm.,15200257
5,{C2FCED31-669C-40FF-83BF-BE22D3AE6FDD},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Napf-Fm.,15200258
6,{05129AA1-F475-4AD1-A417-40FB58FCFED2},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Napf-Fm.: Eimätteli-Mb.: Blapbach-Kohlehorizont,15200259
7,{48EEEED6-84FB-4EAE-9084-4F926DB04660},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Napf-Fm.: Eimätteli-Mb.,15200260
8,{2A5FE7E2-77FC-4CB7-BB99-18998202F177},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Schüpferegg-Nagelfluh,15200261
9,{A9334C59-99E0-44D9-AAB3-31E74DCE031D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,OSM-II,15200262
10,{8BB3D09D-3156-4E50-9E77-B77C6F20063B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,2.0,Hegau-Vulkanite,15200263
11,{86943095-5A0F-4DB2-9B94-C0B193630C3A},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Höwenegg-Basalt,15200264
12,{920D0847-BF5D-4F72-9A91-207868FC982B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Hohenwiel-Phonolith,15200265
13,{8FE3A572-EA6E-403D-96A5-9F0AD860C07E},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,3.0,Hegau-Tuffit,15200266
14,{88A920EA-FD37-4A2E-B1F9-97C600500B3B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hörnli-Fm.: Hörnligipfel-Nagelfluh,15200267
15,{54884EFB-E2A0-4982-82CB-4C8ECCAA46B7},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,6.0,Hörnli-Fm.: Hörnligubel-Mergel: Höchegg-Brekzie,15200268
16,{1C5EFAB9-07BD-4C06-A19F-617250690B43},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hörnli-Fm.: Hörnligubel-Mergel,15200269
17,{CB7C4A9C-3422-4AB3-8B30-337A8F57BCEF},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hörnli-Fm.: Tösswald-Mb.,15200270
18,{95902CA8-B1EF-457C-AFBD-EE0635324337},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Öhningen-Fm.: Bischofszell-Bentonit,15200271
19,{D57D37D2-7368-4AA6-8AA2-BD4400D37C9D},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hörnli-Fm.: Mergelstein-dominierte Fazies,15200272
20,{5324363F-0398-4426-B281-F62D7B593664},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,5.0,Hörnli-Fm.: Krinau-Mb.,15200273
21,{516DB021-CF92-4086-A29F-9EF1631BABC0},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,OSM-II: Glimmersand-Fazies,15200274
22,{9B10766A-F8DB-4098-88AF-3562A3DC8B7B},,2016-01-01 00:00:00.000000,2016-01-01 00:00:00.000000,,,,,,,,,,,,,,,,4.0,Zürich-Fm.: Fellitobel-Süsswasserkalk,15200275
