OBJECTID,UUID,OPERATOR,DATEOFCREATION,DATEOFCHANGE,CREATION_YEAR,CREATION_MONTH,REVISION_YEAR,REVISION_MONTH,REASONFORCHANGE,OBJECTORIGIN,OBJECTORIGIN_YEAR,OBJECTORIGIN_MONTH,RC_ID,WU_ID,RC_ID_CREATION,WU_ID_CREATION,REVISION_QUALITY,ORIGINAL_ORIGIN,INTEGRATION_OBJECT_UUID,DESCRIPTION,GEOLCODE
4,{36D08EB6-FDD0-4C54-BA62-9B0D44C597EF},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,sandig,14508004
2,{3E83FD5C-372D-40B9-837E-117C9B0EE70E},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,lehmig,14508002
1,{97B05E8F-DB1A-40F8-931D-1CC280D340AB},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,tonig,14508001
6,{E54C453A-9125-4744-BE8E-44EF63DF2B67},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,geröllreich,14508006
7,{9AFA2765-2C3A-4DBC-8F8B-420E82EF7A03},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,torfig,14508007
3,{849CB8BA-FD29-4678-9AFF-7D18986A5C9D},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,siltig,14508003
5,{B0A761BD-242D-4191-AF0C-5614C03E3DFE},,2016-01-01,2016-01-01,,,,,,,,,,,,,,,,kiesig,14508005
