OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
3024,{577D7D47-45E8-4270-8719-C514F700CCF7},,15203250.0,15001075.0,15001075.0,15111007.0,,,15285001.0
3025,{BBC0DA86-0A9E-4477-999F-4320D2509465},,15203251.0,15001077.0,15001078.0,15111248.0,,,15285043.0
3325,{4503D44B-76DE-4104-BC82-8899A7D33654},,15203252.0,15001080.0,15001080.0,15111505.0,15111487.0,15111051.0,15285045.0
3026,{34CE0D05-FC88-4FD5-83BE-B823AE58FDAE},15254051.0,15203253.0,15001110.0,15001110.0,15111528.0,,,15287001.0
3027,{E52F280B-A9B0-455D-91E4-4173DB1E1FCF},15254052.0,15203254.0,15001134.0,15001134.0,15111516.0,,,15287001.0
3028,{C3D4E203-C41D-49E9-861A-1EF9375C50B4},15254053.0,15203255.0,15001091.0,15001091.0,15111579.0,15111510.0,,15287001.0
3029,{2BE3640F-51D0-4DA7-919B-1C5958F4D169},,15203256.0,15001091.0,15001091.0,15111630.0,,,15287001.0
3030,{D425B3EB-B76C-48EE-A6D3-39B24365A976},,15203257.0,15001029.0,15001051.0,15111303.0,15111102.0,,15285024.0
2171,{17D5F75D-A590-42A2-9E56-46097167E9F3},15255089.0,15203258.0,15001035.0,15001035.0,15111017.0,,,15285024.0
2172,{DE894622-B597-45D0-9701-3C854CC0FAA6},15255090.0,15203259.0,15001012.0,15001051.0,15111017.0,15111229.0,,15285024.0
3057,{AF95628D-FBA0-443B-B8A2-5E1DDF4D3CA0},15255091.0,15203260.0,15001066.0,15001075.0,15111005.0,15111011.0,,15285024.0
2884,{2FEA9DD4-5DC9-44AB-A0DB-6DB2479F958F},15255092.0,15203261.0,15001066.0,15001066.0,15111231.0,15111070.0,,15285024.0
2890,{3070136F-775F-46DF-B8C4-6FA9705721EC},15255093.0,15203262.0,15001066.0,15001066.0,15111221.0,,,15285024.0
3034,{3D52B2B7-2A89-4091-92FC-9DC9E61A8D43},15255094.0,15203263.0,15001066.0,15001075.0,15111260.0,15111010.0,,15285024.0
3035,{1FD6ACE1-0A8D-436B-9125-462C7465F032},15255095.0,15203264.0,15001072.0,15001072.0,15111010.0,,,15285024.0
3036,{E3334C67-3A2C-4B7D-BF86-26A9BDF10FA2},15255096.0,15203265.0,15001076.0,15001076.0,15111247.0,15111247.0,,15285024.0
3037,{E9ABF474-0BB1-45BF-B7AB-EB1A231A0E3E},15255097.0,15203266.0,15001078.0,15001078.0,15111260.0,,,15285024.0
3038,{B1870C00-8765-40C4-A81C-21C64C0169B5},15255098.0,15203267.0,15001078.0,15001078.0,15111186.0,,,15285024.0
2173,{ACB4E525-E48F-4CBE-A72A-4E5076DB3724},15255020.0,15203268.0,15001074.0,15001082.0,15111196.0,15111213.0,,15285040.0
2174,{DD9DC72F-4641-4805-A481-759DD7D378A0},,15203269.0,15001064.0,15001069.0,15111186.0,15111132.0,,15285039.0
2175,{81740255-41D0-49E8-8361-ADF8BA175344},15255130.0,15203270.0,15001068.0,15001068.0,15111140.0,,,15285039.0
2176,{F2EC78C2-63D6-4BDA-9DA6-6A68026928B2},15255122.0,15203271.0,15001064.0,15001064.0,15111229.0,,,15285030.0
2177,{0ABB4452-364C-4FD6-B284-E6F4201A970F},,15203272.0,15001071.0,15001073.0,15111186.0,15111132.0,,15285040.0
2178,{53F54A73-5424-44E6-991D-228DEA714D96},15255135.0,15203273.0,15001071.0,15001071.0,15111248.0,,,15285043.0
2179,{8E255837-9F1A-4C15-96CF-7EDBD3CFCD25},15255147.0,15203274.0,15001072.0,15001073.0,15111189.0,15111196.0,15111229.0,15285040.0
2180,{47CD0539-192E-4EE2-9844-3A651CE36CBA},,15203275.0,15001073.0,15001082.0,15111132.0,15111259.0,15111209.0,15285040.0
2181,{3DD4CB3A-4AC6-4F69-A6FB-DF53DB64915D},,15203276.0,15001086.0,15001089.0,15111277.0,15111196.0,15111089.0,15285045.0
2182,{4F71273B-8B87-48DB-AFF2-3DAC11752C17},15255166.0,15203277.0,15001086.0,15001086.0,15111277.0,15111260.0,15111102.0,15285052.0
2183,{0659B5C7-2C38-4D3C-B56F-EA9188E0C3A7},15255169.0,15203278.0,15001086.0,15001086.0,15111277.0,15111189.0,15111265.0,15285052.0
2184,{A686B32F-A58C-479E-B394-1865ECDD8150},15255171.0,15203279.0,15001087.0,15001087.0,15111277.0,,,15285049.0
