OBJECTID,DESCRIPTION,TREE_LEVEL,PARENT_REF
4444,Platta-Decke,3,15309267.0
4445,Arosa-Zone,3,15309267.0
4446,Haupterhorn-Scholle,4,15309289.0
4447,Weissfluh-Scholle,4,15309289.0
4448,Gotschnawang-Scholle,4,15309289.0
4449,Dros-Scholle,4,15309289.0
4450,Totalp-Ophiolithkomplex,4,15309289.0
4451,Salassikum,1,
4452,Mont-Mary-Decke,2,15309295.0
4453,Untere Einheit der Mont-Mary-Decke,3,15309296.0
4454,Obere Einheit der Mont-Mary-Decke,3,15309296.0
4455,Roisan-Cignana-Scherzone,2,15309295.0
4456,Dent-Blanche-Decke,2,15309295.0
4457,Arolla-Einheit,3,15309300.0
4458,Valpelline-Einheit,3,15309300.0
4459,Sesia-Decke,2,15309295.0
4460,Seconda Zona Dioritico-Kinzigitica,3,15309303.0
4461,Gneiss-minuti-Einheit,3,15309303.0
4462,Micascisti-eclogitici-Einheit,3,15309303.0
4463,Margna-Decke,2,15309295.0
4464,Forcellina-Schuppe,3,15309308.0
4465,Sella-Decke,2,15309295.0
4466,Ostalpin,1,
4467,Unterostalpin,2,15309310.0
4468,Rothorn-Schwarzhorn-Deckenkomplex,3,15309311.0
4469,Rothorn-Decke,4,15309312.0
4470,Tschirpen-Decke,4,15309312.0
4471,Schafläger-Decke,4,15309312.0
4472,Dorfberg-Decke,4,15309312.0
4473,Grüenhorn-Casanna-Schuppenkomplex,3,15309311.0
4474,Grüenhorn-Schuppe,4,15309317.0
4475,Casanna-Schuppe,4,15309317.0
4476,Stammerspitz-Schuppe,3,15309311.0
4477,Bernina-Deckenkomplex,3,15309311.0
4478,Ela-Decke,4,15309321.0
4479,Bernina-Decke,4,15309321.0
4480,Müsella-Schuppe,4,15309321.0
4481,Mezzaun-Schuppe,4,15309321.0
4482,Madulain-Schuppen,4,15309321.0
4483,Schlattain-Clavadatsch-Padella-Schuppen,4,15309321.0
4484,Julier-Decke,4,15309321.0
4485,Err-Deckenkomplex,3,15309311.0
4486,Murtiröl-Schuppe,4,15309329.0
4487,Err-Decke,4,15309329.0
4488,Carungas-Schuppe,4,15309329.0
4489,Corvatsch-Schuppe,4,15309329.0
4490,Chastelets-Schuppe,4,15309329.0
4491,Bardella-Roccabella-Schuppen,4,15309329.0
4492,Oberostalpin,2,15309310.0
4493,Campo-Deckenkomplex,3,15309336.0
4494,Masuccio-Decke,4,15309337.0
4495,Campo-Decke,4,15309337.0
4496,Grosina-Decke,4,15309337.0
4497,Laas-Decke,4,15309337.0
4498,Vinschgau-Scherzone,4,15309337.0
4499,Languard-Decke,3,15309336.0
4500,Tonale-Decke,3,15309336.0
4501,Ulten-Einheit,4,15309345.0
4301,Säntis-Decke,3,15309117.0
4302,Hohenems-Decke,3,15309117.0
4303,Tavetsch-Decke,3,15309117.0
4304,Ilanz-Decke,3,15309117.0
4305,Gotthard-Decke,3,15309117.0
4306,Camosci-Decke,3,15309117.0
4307,Scopi-Decke,3,15309117.0
4308,Piora-Peiden-Schuppenkomplex,3,15309117.0
4309,Habkern-Melangezone,3,15309117.0
4310,Iberg-Melange,3,15309117.0
4311,Interne Einsiedeln-Schuppen,3,15309117.0
4312,Wildhaus-Melange,3,15309117.0
4313,Liebenstein-Decke,3,15309117.0
4314,Fläscherberg-Decke,3,15309117.0
4315,Pillon-Melangezone,3,15309117.0
4316,Plaine-Morte-Melange,4,15309159.0
4317,Anzeinde-type slivers,4,15309159.0
4318,Sex-Mort-type slivers,4,15309159.0
4319,Arveyes-type slivers,4,15309159.0
4320,Bex-Laubhorn-type slivers,4,15309159.0
4321,Meilleret-type slivers,4,15309159.0
4322,Bulle-Melangezone,3,15309117.0
4323,Infrapräalpines Melange,4,15309166.0
4324,Montsalvens-Schuppe,4,15309166.0
4325,Les-Pléiades-Schuppe,4,15309166.0
4326,Bois-de-Bouleyres-Schuppe,4,15309166.0
4327,Faucigny-Schuppen,4,15309166.0
4328,Lepontikum,1,
4329,Verampio-Decke,2,15309172.0
4330,Antigorio-Deckenkomplex,2,15309172.0
4331,Antigorio-Decke,3,15309174.0
4332,Mergoscia-Zone,3,15309174.0
4333,Lebendun-Decke,2,15309172.0
4334,Monte-Leone-Decke,2,15309172.0
4335,Moncucco-Decke,2,15309172.0
4336,Pizzo-del-Vallone-Decke,2,15309172.0
4337,Isorno-Zone,2,15309172.0
4338,Orselina-Bellinzona-Zone,2,15309172.0
4339,Bosco-Zone,2,15309172.0
4340,Bombogno-Zone,2,15309172.0
4341,Maggia-Decke,2,15309172.0
4342,Sambuco-Decke,2,15309172.0
4343,San-Giorgio-Schuppe,2,15309172.0
4344,Leventina-Lucomagno-Decke,2,15309172.0
4345,Simano-Decke,2,15309172.0
4346,Cima-Lunga-Decke,2,15309172.0
4347,Adula-Decke,2,15309172.0
4348,Gruf-Komplex,2,15309172.0
4349,Soja-Decke,2,15309172.0
4350,Garzott-Schuppen,3,15309193.0
4351,Piz-Terri-Lunschania-Decke,2,15309172.0
4352,Terri-Schuppe,3,15309195.0
4353,Güida-Alpettas-Schuppen,3,15309195.0
4354,Darlun-Schuppe,3,15309195.0
4355,Penninikum,1,
4356,Unterpenninikum,2,15309199.0
4357,Niesen-Decke,3,15309200.0
4358,Infraniesen-Melange,4,15309201.0
4359,Voirons-Decke,3,15309200.0
4360,Gurnigel-Decke,3,15309200.0
4361,Schlieren-Decke,3,15309200.0
4362,Wägital-Decke,3,15309200.0
4363,Üntschen-Decke,3,15309200.0
4364,Sigiswang-Decke,3,15309200.0
4365,Triesenberg-Schuppenkomplex,3,15309200.0
4366,Oberstdorf-Decke,3,15309200.0
4367,Sion-Courmayeur-Decke,3,15309200.0
4368,Rosswald-Schuppe,4,15309211.0
4369,Ferret-Schuppe,4,15309211.0
4370,Moûtiers-Schuppe,4,15309211.0
4371,Roignais-Versoyen-Schuppe,4,15309211.0
4372,Pierre-Avoi-Schuppe,4,15309211.0
4373,Petit-St-Bernard-Schuppe,4,15309211.0
4374,Chiavenna-Decke,3,15309200.0
4375,Vals-Schuppen,3,15309200.0
4376,Aul-Decke,3,15309200.0
4377,Grava-Decke,3,15309200.0
4378,Tomül-Decke,3,15309200.0
4379,Forbesch-Schuppe,4,15309222.0
4380,Roz-Champatsch-Melange,3,15309200.0
4381,Ramosch-Zone,3,15309200.0
4382,Pfunds-Decke,3,15309200.0
4383,Mittelpenninikum,2,15309199.0
4384,Zone Submédiane,3,15309227.0
4385,Klippen-Decke,3,15309227.0
4386,Préalpes Médianes Plastiques,4,15309229.0
4387,Préalpes Médianes Rigides,4,15309229.0
4388,Mythen-Roggenegg-Schuppe,4,15309229.0
4389,Obere Rotenflue-Schuppe,4,15309229.0
4390,Stäglerenegg-Brünnelistock-Schuppen ,4,15309229.0
4391,Brekzien-Decke,3,15309227.0
4392,Zone Houillère,3,15309227.0
4393,Zone Houillère externe,4,15309236.0
4394,Zone Houillère interne,4,15309236.0
4395,Visperterminen-Schuppe,4,15309236.0
4396,Untere Stalden-Schuppe,4,15309236.0
4397,Gälmji-Zone,3,15309227.0
4398,Ruginenta-Decke,3,15309227.0
4399,Ruitor-Decke,3,15309227.0
4400,Obere Stalden-Decke,3,15309227.0
4401,Berisal-Decke,3,15309227.0
4402,Camughera-Decke,3,15309227.0
4403,Siviez-Mischabel-Decke,3,15309227.0
4404,Mont-Fort-Decke,3,15309227.0
4405,Portjengrat-Decke,3,15309227.0
4406,Stockhorn-Decke,3,15309227.0
4407,Monte-Rosa-Decke,3,15309227.0
4408,Tambo-Decke,3,15309227.0
4409,Suretta-Decke,3,15309227.0
4410,Schams-Deckenkomplex,3,15309227.0
4411,Gelbhorn-Decke,4,15309254.0
4412,Tschera-Kalkberg-Decke,4,15309254.0
4413,Knorren-Melange,4,15309254.0
4414,Martegnas-Melange,4,15309254.0
4415,Areua-Bruschghorn-Melange,4,15309254.0
4416,Falknis-Decke,3,15309227.0
4417,Tschingel-Schuppe,4,15309260.0
4418,Grauspitz-Schuppe,4,15309260.0
4419,Glegghorn-Schuppe,4,15309260.0
4420,Sulzfluh-Decke,3,15309227.0
4421,Fimber-Zone,3,15309227.0
4226,Calanda-Schuppe (Aar-Massiv-Anteil),4,15309061.0
4227,Mirutta-Schuppen (Aar-Massiv-Anteil),4,15309061.0
4228,Tschep-Schuppe,4,15309061.0
4229,Maliens-Schuppe,4,15309061.0
4230,Piz-d'Artgas-Schuppe,4,15309061.0
4231,Hoch-Fulen-Schuppe,4,15309061.0
4232,Chaines-Subalpines-Decke,3,15309050.0
4233,Morcles-Decke,3,15309050.0
4234,Ardon-Decke,3,15309050.0
4235,Doldenhorn-Decke,3,15309050.0
4236,Gellihorn-Decke,3,15309050.0
4237,Plammis-Decke,3,15309050.0
4238,Jägerchrüz-Decke,3,15309050.0
4239,Kammlistock-Decke,3,15309050.0
4240,Griessstock-Decke,3,15309050.0
4241,Clariden-Schuppenkomplex,3,15309050.0
4242,Klausenpass-Schuppen,4,15309085.0
4243,Chamerstock-Schuppe,4,15309085.0
4244,Geisstritt-Schuppe,4,15309085.0
4245,Stichplatten-Schuppe,4,15309085.0
4246,Gemsfairen-Schuppe,4,15309085.0
4247,Rotstock-Schuppe,4,15309085.0
4248,Langfirn-Schuppe,4,15309085.0
4249,Fiseten-Orthalden-Schuppen,3,15309050.0
4250,Cavistrau-Decke,3,15309050.0
4251,Chropfsberg-Pizalun-Schuppen,3,15309050.0
4252,Chropfsberg-Schuppe,4,15309095.0
4253,Pizalun-Schuppe,4,15309095.0
4254,Gaffia-Schuppe,4,15309095.0
4255,Logsbach-Schuppe,4,15309095.0
4256,Mättental-Melange,3,15309050.0
4257,Schabell-Melange,3,15309050.0
4258,Tschingelhörner-Schuppen,3,15309050.0
4259,Blattengrat-Decke,3,15309050.0
4260,Marchegghorn-Schuppe (Blattengrat-Anteil),4,15309103.0
4261,Calanda-Schuppe (Blattengrat-Anteil),4,15309103.0
4262,Mirutta-Schuppe (Blattengrat-Anteil),4,15309103.0
4263,Sardona-Decke,3,15309050.0
4502,Krabachjoch-Decke,3,15309336.0
4503,Inntal-Decke,3,15309336.0
4504,Roggenstock-Mördergruebi-Decke,3,15309336.0
4505,Lechtal-Decke,3,15309336.0
4506,Madrisa-Schuppe,4,15309349.0
4507,Schesaplana-Schuppe,4,15309349.0
4508,Gorvion-Schuppe,4,15309349.0
4509,Augstenberg-Schuppe,4,15309349.0
4510,Ochsenkopf-Schuppe,4,15309349.0
4511,Heubühl-Schuppe,4,15309349.0
4512,Drei-Schwestern-Schuppe,4,15309349.0
4513,Allgäu-Decke,3,15309336.0
4514,Cenoman-Randschuppe,3,15309336.0
4515,Schiahorn-Decke,3,15309336.0
4516,Silvretta-Decke,3,15309336.0
4517,S-chanf-Schuppen,4,15309360.0
4518,Phyllitgneiszone,4,15309360.0
4519,Ötztal-Deckenkomplex,3,15309336.0
4520,Matsch-Decke,4,15309363.0
4521,Umbrail-Terza-Schuppenkomplex,3,15309336.0
4522,Umbrail-Chavalatsch-Schuppen,4,15309365.0
4523,Terza-Schuppe,4,15309365.0
4524,Quattervals-Decke,3,15309336.0
4525,S-charl-Sesvenna-Decke,3,15309336.0
4526,Tavrü-Schuppe,4,15309369.0
4527,Ortler-Decke,3,15309336.0
4528,Südalpin,1,
4529,Canavese-Zone,2,15309372.0
4530,Ivrea-Ceneri-Komplex,2,15309372.0
4531,Ivrea-Zone,3,15309375.0
4532,Strona-Ceneri-Zone (Ivrea-Ceneri-Anteil),3,15309375.0
4533,Milano-Belt,2,15309372.0
4534,Externe Giudicarie-Zone,3,15309377.0
4535,Untere Orobische Schuppen,2,15309372.0
4536,Interne Giudicarie-Zone,3,15309379.0
4537,Obere Orobische Decke,2,15309372.0
4538,Val-Colla-Zone,3,15309381.0
4539,Strona-Ceneri-Zone (Oberer Orobischer Anteil),3,15309381.0
4540,Varesotto-Schuppen,2,15309372.0
4541,Strona-Ceneri-Zone (undifferenziert),2,15309372.0
4542,Känozoische magmatische Gesteine,1,
4543,Vulkanische Serie des Hegaus,2,15309386.0
4544,Periadriatische magmatische Provinz,2,15309386.0
4545,Vulkanische Serie von Biella,3,15309388.0
4546,Subvulkanischer Körper vom Colle Gallo,3,15309388.0
4547,Subvulkanischer Körper von Gandino,3,15309388.0
4548,Bregaglia-Intrusionskörper,3,15309388.0
4549,Novate-Intrusionskörper,3,15309388.0
4550,Adamello-Batholith,3,15309388.0
