OBJECTID,DESCRIPTION,TREE_LEVEL
779,Schönbühl-Fm.,3.0
780,Schönbühl-Fm.: Quarzit,4.0
781,Kärpf-Fm.,3.0
782,Karrenstock-Fm.,3.0
783,Murgtal-Fm.: Chartegg-Mb.,5.0
784,Karrenstock-Fm.: Fuggstock-Mb.,5.0
785,Mären-Fm.,3.0
786,Üblital-Fm.,3.0
787,Ilanz-Verrucano,2.0
788,Vernayaz-Fm.,1.0
789,Vernayaz-Fm.: Salvan-Mb.,2.0
790,Vernayaz-Fm.: Salvan-Mb.: Vallorcine-Konglomerat,3.0
791,Aar-Massiv: Spät- bis postvariszische Intrusiva,1.0
792,Gastern-Granit,2.0
793,Mittagflue-Granit,2.0
794,Zentraler Aare-Granit,2.0
795,Grimsel-Granodiorit,2.0
796,Südwestlicher Aare-Granit,2.0
797,Bugnei-Granodiorit,
798,Aar-Massiv: Spät- bis postvariszische Sedimente und Vulkanite,1.0
799,Wendenjoch-Fm.,2.0
800,Windgällen-Fm.,2.0
801,Trift-Fm.,2.0
802,Intschi-Fm.,2.0
803,Bifertengrätli-Fm.,2.0
804,Bifertengrätli-Fm.: Lakustrisches Mb.,3.0
805,Bifertengrätli-Fm.: Estuarisches Mb.,3.0
806,Bifertengrätli-Fm.: Grünhorn-Mb.: Basales Konglomerat,3.0
807,Bifertengrätli-Fm.: Grünhorn-Mb.,3.0
808,Diechtergletscher-Fm.,2.0
809,Tscharren-Fm.,2.0
811,Aar-Massiv: Mittelvariszische Intrusiva,1.0
812,Brunni-Granit,2.0
813,Düssi-Diorit,2.0
814,Munt-Dado-Granit,2.0
815,Russein-Diorit,
816,Voralp-Granit,2.0
817,Aar-Massiv: Frühvariszische Intrusiva,1.0
818,Punteglias-Granit,2.0
819,Tödi-Granit,2.0
820,Strem-Granit,4.0
821,Baltschieder-Granodiorit,2.0
822,Giuv-Syenit,2.0
823,Curtin-Monzodiorit,2.0
824,Bristenstock-Syenit,
825,Aar-Massiv: Frühvariszische Sedimente,1.0
826,Val-Gliems-Fm.,2.0
827,Bifertenfirn-Fm.,2.0
828,Aar-Massiv: Prävariszisches polyzyklisches Grundgebirge,1.0
829,Innertkirchen-Migmatit,2.0
830,Innertkirchen-Migmatit: Zäsenberg-Gneis,2.0
831,Erstfeld-Gneiskomplex,2.0
612,Habkern-Melange,1.0
613,Sörenberg-Melange,1.0
614,Wildhaus-Melange,1.0
623,Südhelvetischer Flysch,2.0
627,Nordhelvetische Flysch-Gr.,2.0
628,Matt-Fm.,3.0
629,Matt-Fm.: Engi-Dachschiefer,4.0
630,Matt-Fm.: Gruontal-Konglomerat,4.0
632,Elm-Fm.,3.0
631,Matt-Fm.: Gruontal-Konglomerat: Rüschenweid-Bk.,4.0
